baseline_id,spec_code,official_source_flag,current_baseline_flag,kem_flag,signature_flag,guidance_flag,external_numeric_metric_flag,improvement_claim_flag
0,0,1,1,1,0,0,0,0
1,1,1,1,1,0,1,0,0
2,2,1,1,0,1,0,0,0
3,3,1,1,0,1,0,0,0
