trace_class_id,class_rank_order,candidate_count,rank_min,rank_max,rank_gap_count,rank_interval_contiguous_flag,walk_length_min,walk_length_max,distinct_symbol_word_count,distinct_carrier_path_count,distinct_cell_edge_path_count,distinct_atom_word_count,distinct_trace_signature_count,score_better_candidate_count,score_class_candidate_count,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_signature_0_count,trace_signature_1_count,trace_signature_2_count,trace_signature_3_count,trace_signature_4_count,trace_signature_5_count,trace_signature_6_count,trace_signature_7_count,trace_edge_count,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,trace_min_signature_after_node42,baseline_alias_flag,target1_branch_flag,representative_candidate_id,representative_rank_order,representative_walk_length,representative_symbol_0_id,representative_symbol_1_id,representative_symbol_2_id,representative_symbol_3_id,representative_symbol_4_id,representative_symbol_5_id,representative_symbol_6_id
0,1,103,1,103,0,1,5,7,14,55,55,14,1,0,103,6,48,42,27,28,34,44,-1,-1,132,183,146,169,177,185,-1,-1,5,3,37,1,127,146,1,0,0,1,5,2,1,4,5,2,-1,-1
1,2,18,104,121,0,1,6,7,3,14,14,3,1,103,18,6,48,42,27,31,50,44,-1,-1,132,183,146,151,146,185,-1,-1,5,3,37,1,137,146,0,0,103,104,6,2,1,3,4,5,2,-1
2,3,3,122,124,0,1,7,7,1,3,3,1,1,121,3,6,48,42,27,29,45,44,-1,-1,132,183,146,169,148,185,-1,-1,5,3,37,1,169,146,0,1,121,122,7,2,1,5,2,5,4,3
3,4,9,125,133,0,1,7,7,1,9,9,1,1,124,9,6,48,42,27,7,14,44,-1,-1,132,183,146,138,168,185,-1,-1,5,3,45,1,143,138,0,0,124,125,7,2,1,0,2,5,4,3
4,5,51,134,233,49,0,6,7,8,39,39,8,1,133,107,6,48,42,27,26,29,44,-1,-1,132,183,146,118,169,185,-1,-1,5,3,65,1,183,118,0,0,133,134,6,2,1,2,5,4,3,-1
5,6,35,137,240,69,0,7,7,1,35,35,1,1,133,107,6,48,42,27,22,29,44,-1,-1,132,183,146,118,169,185,-1,-1,5,3,65,1,183,118,0,0,136,137,7,2,1,1,2,5,4,3
6,7,21,150,205,35,0,7,7,1,21,21,1,1,133,107,6,48,42,27,26,39,44,-1,-1,132,183,146,118,148,185,-1,-1,5,3,65,1,183,118,0,0,149,150,7,2,1,2,2,5,4,3
