source_trace_class_id,target_trace_class_id,common_prefix_node_count,common_suffix_node_count,source_divergent_node_count,target_divergent_node_count,trace_node_edit_distance,trace_edge_edit_distance,trace_ambient_aligned_substitution_cost,source_rank_min,target_rank_min
0,1,3,1,2,2,2,3,2,1,104
0,2,3,1,2,2,2,3,3,1,122
0,3,3,1,2,2,2,3,3,1,125
0,4,3,1,2,2,2,3,2,1,134
0,5,3,1,2,2,2,3,2,1,137
0,6,3,1,2,2,2,3,3,1,150
1,2,3,1,2,2,2,3,4,104,122
1,3,3,1,2,2,2,3,4,104,125
1,4,3,1,2,2,2,3,4,104,134
1,5,3,1,2,2,2,3,4,104,137
1,6,3,1,2,2,2,3,4,104,150
2,3,3,1,2,2,2,3,2,122,125
2,4,3,1,2,2,2,3,2,122,134
2,5,3,1,2,2,2,3,2,122,137
2,6,3,1,2,2,2,3,2,122,150
3,4,3,1,2,2,2,3,2,125,134
3,5,3,1,2,2,2,3,2,125,137
3,6,3,1,2,2,2,3,2,125,150
4,5,3,2,1,1,1,2,1,134,137
4,6,4,1,1,1,1,2,1,134,150
5,6,3,1,2,2,2,3,2,137,150
