trace_class_id,trace_rank,node_id,signature_union_count,sector_coverage_count,graph_degree,signature_drop_from_node42,local_valley_flag,baseline_divergent_flag,target1_divergent_flag
0,0,48,132,5,10,51,0,0,0
0,1,42,183,6,15,0,0,0,0
0,2,27,146,5,15,37,1,0,0
0,3,28,169,6,15,14,1,1,0
0,4,34,177,6,15,6,1,1,0
0,5,44,185,6,15,0,0,0,0
1,0,48,132,5,10,51,0,0,0
1,1,42,183,6,15,0,0,0,0
1,2,27,146,5,15,37,1,0,0
1,3,31,151,6,15,32,1,0,0
1,4,50,146,5,15,37,1,0,0
1,5,44,185,6,15,0,0,0,0
2,0,48,132,5,10,51,0,0,0
2,1,42,183,6,15,0,0,0,0
2,2,27,146,5,15,37,1,0,0
2,3,29,169,5,15,14,1,0,1
2,4,45,148,4,10,35,1,0,1
2,5,44,185,6,15,0,0,0,0
3,0,48,132,5,10,51,0,0,0
3,1,42,183,6,15,0,0,0,0
3,2,27,146,5,15,37,1,0,0
3,3,7,138,5,15,45,1,0,0
3,4,14,168,5,15,15,1,0,0
3,5,44,185,6,15,0,0,0,0
4,0,48,132,5,10,51,0,0,0
4,1,42,183,6,15,0,0,0,0
4,2,27,146,5,15,37,1,0,0
4,3,26,118,4,10,65,1,0,0
4,4,29,169,5,15,14,1,0,0
4,5,44,185,6,15,0,0,0,0
5,0,48,132,5,10,51,0,0,0
5,1,42,183,6,15,0,0,0,0
5,2,27,146,5,15,37,1,0,0
5,3,22,118,4,10,65,1,0,0
5,4,29,169,5,15,14,1,0,0
5,5,44,185,6,15,0,0,0,0
6,0,48,132,5,10,51,0,0,0
6,1,42,183,6,15,0,0,0,0
6,2,27,146,5,15,37,1,0,0
6,3,26,118,4,10,65,1,0,0
6,4,39,148,4,10,35,1,0,0
6,5,44,185,6,15,0,0,0,0
