,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,-2.9757529773632996e-11,-1600.167818963306,-273.56542616073494,-273.56542616073494,-273.56542616073494,-273.56542616073494,-103.2242960675954,-103.2242960675954,-103.2242960675954,-103.2242960675954,-20.115390114490047,-20.115390114490047,-20.115390114490047,-20.115390114490047,-20.115390114490047,-20.115390114490047
B-∧B+,2424.925941573249,-8.594071055788428,-14.10346898138516,-14.10346898138516,-14.10346898138516,-14.10346898138516,-5.091635827235184,-5.091635827235184,-5.091635827235184,-5.091635827235184,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295,-1.2028814570194295
B-∧V-,302.63204035422024,2.1981210510099336,0.20605590773115157,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B-∧V+,302.63204035422024,2.1981210510099336,-0.5980482315814871,0.20605590773096272,-0.5980482315814871,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B-∧S-,302.63204035422024,2.1981210510099336,-0.5980482315814871,-0.5980482315814871,0.20605590773079951,-0.5980482315814871,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B-∧S+,302.63204035422024,2.1981210510099336,-0.5980482315814871,-0.5980482315814871,-0.5980482315814871,0.20605590773063998,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.22304347430996468,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055,-0.046647178170857055
B+∧V-,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,0.7378903749790772,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
B+∧V+,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,0.7378903749788905,-0.06621376433355296,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
B+∧S-,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,-0.06621376433355296,0.7378903749787311,-0.06621376433355296,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
B+∧S+,85.84198650986644,0.619136517967489,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.1806311031430535,-0.06621376433355296,-0.06621376433355296,-0.06621376433355296,0.7378903749785715,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834,-0.014851978407022834
V-∧V+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,0.8030476541588272,-0.00105648515361389,-0.00105648515361389,-0.0010564851536138905,-0.0010564851536138905,-0.0010564851536138903
V-∧S-,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.00105648515361389,0.8030476541586676,-0.00105648515361389,-0.00105648515361389,-0.0010564851536138903,-0.0010564851536138905
V-∧S+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.00105648515361389,-0.00105648515361389,0.803047654158508,-0.0010564851536138903,-0.00105648515361389,-0.00105648515361389
V+∧S-,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138905,-0.00105648515361389,-0.0010564851536138903,0.8030476541586659,-0.00105648515361389,-0.0010564851536138905
V+∧S+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138905,-0.0010564851536138903,-0.00105648515361389,-0.00105648515361389,0.8030476541585045,-0.00105648515361389
S-∧S+,14.691738795088181,-0.026830918256289808,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.024186364139891982,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.010235726177315241,-0.0010564851536138903,-0.0010564851536138905,-0.00105648515361389,-0.0010564851536138905,-0.00105648515361389,0.803047654158502
