element_index,R_equivariance_relerr,R_cos2_after_action,builder_rank,jabber_rank
0,0.8382176442002682,0.2973911809513527,5,5
1,6.103861160491815,2.9307391679783397e-05,3,3
2,6.10386116049191,2.9307391679785342e-05,3,3
3,6.103861160491923,2.9307391679790183e-05,3,3
4,6.1038611604974085,2.930739168009352e-05,3,3
5,6.103861160497422,2.9307391680098686e-05,3,3
6,6.103861160497584,2.9307391680103697e-05,3,3
7,41.33634574564611,0.001504262172926667,5,5
8,108.78619706835528,0.0009552518612245757,4,4
9,108.78619706835539,0.0009552518612245716,4,4
10,108.78619706835555,0.0009552518612245752,4,4
11,112.614571188343,0.0009704670909251736,4,4
12,108.7861970683638,0.0009552518612245377,4,4
13,112.6145711883344,0.0009704670909251989,4,4
14,112.61457118833431,0.0009704670909252025,4,4
15,112.61457118833422,0.000970467090925202,4,4
16,112.61457118833422,0.000970467090925202,4,4
17,112.61457118833431,0.0009704670909252025,4,4
18,112.6145711883344,0.0009704670909251989,4,4
19,108.7861970683638,0.0009552518612245377,4,4
20,112.614571188343,0.0009704670909251736,4,4
21,108.78619706835555,0.0009552518612245752,4,4
22,108.78619706835539,0.0009552518612245716,4,4
23,108.78619706835528,0.0009552518612245757,4,4
24,41.33634574564611,0.001504262172926667,5,5
25,6.103861160497584,2.9307391680103697e-05,3,3
26,6.103861160497422,2.9307391680098686e-05,3,3
27,6.1038611604974085,2.930739168009352e-05,3,3
28,6.103861160491923,2.9307391679790183e-05,3,3
29,6.10386116049191,2.9307391679785342e-05,3,3
30,6.103861160491815,2.9307391679783397e-05,3,3
31,0.8382176442002682,0.2973911809513527,5,5
32,11.226549285099813,0.00016875923573878344,5,5
33,17.537268024467686,0.0007563831348159134,3,3
34,6.037252940112154,0.005134486158666279,3,3
35,6.037252940112178,0.005134486158666303,3,3
36,6.037252940117697,0.005134486158661686,3,3
37,6.03725294011772,0.005134486158661716,3,3
38,17.53726802447347,0.0007563831348160554,3,3
39,26.9189907842398,0.0016241209259318557,5,5
40,108.78619706835545,0.0009552518612245746,4,4
41,108.78619706835534,0.0009552518612245755,4,4
42,108.78619706836373,0.0009552518612245375,4,4
43,112.61457118833444,0.0009704670909252012,4,4
44,108.7861970683555,0.0009552518612245744,4,4
45,112.61457118834305,0.000970467090925177,4,4
46,112.61457118833417,0.0009704670909251995,4,4
47,112.61457118833424,0.0009704670909252025,4,4
48,112.61457118833424,0.0009704670909252025,4,4
49,112.61457118833417,0.0009704670909251995,4,4
50,112.61457118834305,0.000970467090925177,4,4
51,108.7861970683555,0.0009552518612245744,4,4
52,112.61457118833444,0.0009704670909252012,4,4
53,108.78619706836373,0.0009552518612245375,4,4
54,108.78619706835534,0.0009552518612245755,4,4
55,108.78619706835545,0.0009552518612245746,4,4
56,26.9189907842398,0.0016241209259318557,5,5
57,17.53726802447347,0.0007563831348160554,3,3
58,6.03725294011772,0.005134486158661716,3,3
59,6.037252940117697,0.005134486158661686,3,3
60,6.037252940112178,0.005134486158666303,3,3
61,6.037252940112154,0.005134486158666279,3,3
62,17.537268024467686,0.0007563831348159134,3,3
63,11.226549285099813,0.00016875923573878344,5,5
64,22.312996620353204,0.0006586842779967504,5,5
65,18.207455682005623,0.002504372755202649,3,3
66,6.103861160491909,2.93073916797858e-05,3,3
67,6.1038611604974085,2.9307391680094143e-05,3,3
68,6.103861160491924,2.9307391679789956e-05,3,3
69,6.103861160497423,2.9307391680098348e-05,3,3
70,18.20745568201173,0.0025043727552021824,3,3
71,13.219151479218649,0.0019454382477432938,5,5
72,108.78619706835555,0.0009552518612245752,4,4
73,108.78619706836379,0.0009552518612245391,4,4
74,108.78619706835528,0.0009552518612245745,4,4
75,112.61457118833431,0.0009704670909252027,4,4
76,108.78619706835539,0.000955251861224573,4,4
77,112.61457118833421,0.0009704670909252014,4,4
78,112.61457118834302,0.0009704670909251743,4,4
79,112.61457118833438,0.0009704670909251997,4,4
80,112.61457118833438,0.0009704670909251997,4,4
81,112.61457118834302,0.0009704670909251743,4,4
82,112.61457118833421,0.0009704670909252014,4,4
83,108.78619706835539,0.000955251861224573,4,4
84,112.61457118833431,0.0009704670909252027,4,4
85,108.78619706835528,0.0009552518612245745,4,4
86,108.78619706836379,0.0009552518612245391,4,4
87,108.78619706835555,0.0009552518612245752,4,4
88,13.219151479218649,0.0019454382477432938,5,5
89,18.20745568201173,0.0025043727552021824,3,3
90,6.103861160497423,2.9307391680098348e-05,3,3
91,6.103861160491924,2.9307391679789956e-05,3,3
92,6.1038611604974085,2.9307391680094143e-05,3,3
93,6.103861160491909,2.93073916797858e-05,3,3
94,18.207455682005623,0.002504372755202649,3,3
95,22.312996620353204,0.0006586842779967504,5,5
96,33.4296695358186,0.0008645006175609419,5,5
97,6.0372529401120705,0.00513448615866638,3,3
98,6.037252940112155,0.005134486158666275,3,3
99,6.037252940117698,0.0051344861586616755,3,3
100,6.037252940112177,0.005134486158666317,3,3
101,6.037252940117719,0.005134486158661714,3,3
102,6.037252940117872,0.005134486158661542,3,3
103,2.221414139504613,0.0022836217763285514,5,5
104,108.78619706836375,0.0009552518612245371,4,4
105,108.7861970683555,0.0009552518612245744,4,4
106,108.78619706835545,0.0009552518612245741,4,4
107,112.61457118833417,0.0009704670909251995,4,4
108,108.78619706835535,0.0009552518612245767,4,4
109,112.61457118833424,0.0009704670909252027,4,4
110,112.61457118833444,0.0009704670909252012,4,4
111,112.61457118834305,0.0009704670909251768,4,4
112,112.61457118834305,0.0009704670909251768,4,4
113,112.61457118833444,0.0009704670909252012,4,4
114,112.61457118833424,0.0009704670909252027,4,4
115,108.78619706835535,0.0009552518612245767,4,4
116,112.61457118833417,0.0009704670909251995,4,4
117,108.78619706835545,0.0009552518612245741,4,4
118,108.7861970683555,0.0009552518612245744,4,4
119,108.78619706836375,0.0009552518612245371,4,4
120,2.221414139504613,0.0022836217763285514,5,5
121,6.037252940117872,0.005134486158661542,3,3
122,6.037252940117719,0.005134486158661714,3,3
123,6.037252940112177,0.005134486158666317,3,3
124,6.037252940117698,0.0051344861586616755,3,3
125,6.037252940112155,0.005134486158666275,3,3
126,6.0372529401120705,0.00513448615866638,3,3
127,33.4296695358186,0.0008645006175609419,5,5
128,365.01155133228815,0.0005876803546475629,5,5
129,17.193611596631683,0.0014546862867328625,3,3
130,1.5958325996818217,0.03358788697389168,2,3
