generator,type,edge_perm,signs
s4_perm_0,S4_edge_permutation,0 1 3 2 5 4,1 1 1 1 1 1
s4_perm_1,S4_edge_permutation,0 1 4 5 2 3,1 1 1 1 1 1
s4_perm_2,S4_edge_permutation,1 0 2 3 5 4,1 1 1 1 1 1
s4_perm_3,S4_edge_permutation,2 3 0 1 4 5,1 1 1 1 1 1
even_sign_flip_0,D6_even_sign_flip,0 1 2 3 4 5,-1 -1 1 1 1 1
even_sign_flip_1,D6_even_sign_flip,0 1 2 3 4 5,-1 1 -1 1 1 1
even_sign_flip_2,D6_even_sign_flip,0 1 2 3 4 5,-1 1 1 -1 1 1
even_sign_flip_3,D6_even_sign_flip,0 1 2 3 4 5,-1 1 1 1 -1 1
even_sign_flip_4,D6_even_sign_flip,0 1 2 3 4 5,-1 1 1 1 1 -1
