route_id,relation_id,visible_index,sentinel_mode_id,sentinel_sign,source_atom,stress_edge_id,edge_source_atom,edge_target_atom,signed_tension_scaled,weight_scaled,sign_match_flag,outgoing_source_flag,formal_route_flag,physical_stress_energy_flag
86,27,10,1,-1,10,52,10,11,-7465207748,899484360,1,1,1,0
87,28,10,1,-1,10,52,10,11,-7465207748,899484360,1,1,1,0
88,29,11,1,-1,11,56,11,10,-6047383004,1457861554,1,1,1,0
89,30,11,1,-1,11,56,11,10,-6047383004,1457861554,1,1,1,0
90,31,11,1,-1,11,56,11,10,-6047383004,1457861554,1,1,1,0
91,32,12,1,-1,12,62,12,10,-6047383004,791735858,1,1,1,0
92,33,13,1,-1,13,69,13,18,-812412783,725222376,1,1,1,0
93,34,13,1,-1,13,69,13,18,-812412783,725222376,1,1,1,0
94,35,13,1,-1,13,69,13,18,-812412783,725222376,1,1,1,0
95,36,13,1,-1,13,69,13,18,-812412783,725222376,1,1,1,0
96,37,13,1,-1,13,69,13,18,-812412783,725222376,1,1,1,0
97,38,14,1,-1,14,70,14,17,-2323258234,897503723,1,1,1,0
98,39,14,1,-1,14,70,14,17,-2323258234,897503723,1,1,1,0
99,40,15,1,-1,15,79,15,14,-2807949144,688665419,1,1,1,0
100,41,15,1,-1,15,79,15,14,-2807949144,688665419,1,1,1,0
101,42,15,1,-1,15,79,15,14,-2807949144,688665419,1,1,1,0
102,43,15,1,-1,15,79,15,14,-2807949144,688665419,1,1,1,0
103,44,15,1,-1,15,79,15,14,-2807949144,688665419,1,1,1,0
104,45,16,1,-1,16,81,16,13,-141468728,784748863,1,1,1,0
105,46,17,1,-1,17,85,17,14,-2807949144,901943407,1,1,1,0
106,47,17,1,-1,17,85,17,14,-2807949144,901943407,1,1,1,0
107,48,17,1,-1,17,85,17,14,-2807949144,901943407,1,1,1,0
108,49,18,1,-1,18,92,18,15,-1464034193,745272872,1,1,1,0
109,50,18,1,-1,18,92,18,15,-1464034193,745272872,1,1,1,0
110,51,18,1,-1,18,92,18,15,-1464034193,745272872,1,1,1,0
111,52,18,1,-1,18,92,18,15,-1464034193,745272872,1,1,1,0
112,53,19,1,-1,19,99,19,14,-2807949144,902187790,1,1,1,0
113,54,19,1,-1,19,99,19,14,-2807949144,902187790,1,1,1,0
114,55,19,1,-1,19,99,19,14,-2807949144,902187790,1,1,1,0
115,56,19,1,-1,19,99,19,14,-2807949144,902187790,1,1,1,0
116,57,19,1,-1,19,99,19,14,-2807949144,902187790,1,1,1,0
117,58,19,1,-1,19,99,19,14,-2807949144,902187790,1,1,1,0
