observable_id,observable_code,value
0,0,3
1,1,3
2,2,59
3,3,1
4,4,60
5,5,2
6,6,118
7,7,118
8,8,59
9,9,59
10,10,40
11,11,20
12,12,20
13,13,20
14,14,1
15,15,1
16,16,1
17,17,1
18,18,0
19,19,0
20,20,0
21,21,2
