sentinel_mode_id,sentinel_code,sentinel_sign,carrier_count,sentinel_count,closure_total,signed_route_count,formal_route_flag,physical_validation_flag
0,0,1,59,1,60,59,1,0
1,1,-1,59,1,60,59,1,0
