route_id,relation_id,sentinel_mode_id,sentinel_sign,stress_edge_id,source_atom,target_atom,route_weight_scaled,route_flux_scaled,tension_abs_scaled,formal_ansatz_flag
0,0,0,1,3,0,5,924978992,924978992,2807949144,1
1,1,0,1,6,1,4,785753363,785753363,1464034193,1
2,2,0,1,6,1,4,785753363,785753363,1464034193,1
3,3,0,1,6,1,4,785753363,785753363,1464034193,1
4,4,0,1,10,2,5,861278014,861278014,2807949144,1
5,5,0,1,19,3,1,697328966,697328966,812412783,1
6,6,0,1,19,3,1,697328966,697328966,812412783,1
7,7,0,1,19,3,1,697328966,697328966,812412783,1
8,8,0,1,19,3,1,697328966,697328966,812412783,1
9,9,0,1,24,4,2,718397382,718397382,2323258234,1
10,10,0,1,25,5,2,903212908,903212908,2323258234,1
11,11,0,1,25,5,2,903212908,903212908,2323258234,1
12,12,0,1,25,5,2,903212908,903212908,2323258234,1
13,13,0,1,25,5,2,903212908,903212908,2323258234,1
14,14,0,1,34,6,1,728681970,728681970,812412783,1
15,15,0,1,37,7,9,813281384,813281384,6047383004,1
16,16,0,1,37,7,9,813281384,813281384,6047383004,1
17,17,0,1,37,7,9,813281384,813281384,6047383004,1
18,18,0,1,37,7,9,813281384,813281384,6047383004,1
19,19,0,1,37,7,9,813281384,813281384,6047383004,1
20,20,0,1,37,7,9,813281384,813281384,6047383004,1
21,21,0,1,41,8,9,1126064767,1126064767,6047383004,1
22,22,0,1,45,9,8,1055384939,1055384939,7465207748,1
23,23,0,1,45,9,8,1055384939,1055384939,7465207748,1
24,24,0,1,45,9,8,1055384939,1055384939,7465207748,1
25,25,0,1,45,9,8,1055384939,1055384939,7465207748,1
26,26,0,1,45,9,8,1055384939,1055384939,7465207748,1
27,27,0,1,54,10,9,763829382,763829382,6047383004,1
28,28,0,1,54,10,9,763829382,763829382,6047383004,1
29,29,0,1,55,11,0,1676528067,1676528067,10000000000,1
30,30,0,1,55,11,0,1676528067,1676528067,10000000000,1
31,31,0,1,55,11,0,1676528067,1676528067,10000000000,1
32,32,0,1,60,12,7,827163159,827163159,4054536444,1
33,33,0,1,68,13,1,735757342,735757342,812412783,1
34,34,0,1,68,13,1,735757342,735757342,812412783,1
35,35,0,1,68,13,1,735757342,735757342,812412783,1
36,36,0,1,68,13,1,735757342,735757342,812412783,1
37,37,0,1,68,13,1,735757342,735757342,812412783,1
38,38,0,1,74,14,7,742211987,742211987,4054536444,1
39,39,0,1,74,14,7,742211987,742211987,4054536444,1
40,40,0,1,77,15,7,727128035,727128035,4054536444,1
41,41,0,1,77,15,7,727128035,727128035,4054536444,1
42,42,0,1,77,15,7,727128035,727128035,4054536444,1
43,43,0,1,77,15,7,727128035,727128035,4054536444,1
44,44,0,1,77,15,7,727128035,727128035,4054536444,1
45,45,0,1,84,16,4,723859806,723859806,1464034193,1
46,46,0,1,89,17,7,712064363,712064363,4054536444,1
47,47,0,1,89,17,7,712064363,712064363,4054536444,1
48,48,0,1,89,17,7,712064363,712064363,4054536444,1
49,49,0,1,90,18,1,1081202338,1081202338,812412783,1
50,50,0,1,90,18,1,1081202338,1081202338,812412783,1
51,51,0,1,90,18,1,1081202338,1081202338,812412783,1
52,52,0,1,90,18,1,1081202338,1081202338,812412783,1
53,53,0,1,98,19,0,975179216,975179216,10000000000,1
54,54,0,1,98,19,0,975179216,975179216,10000000000,1
55,55,0,1,98,19,0,975179216,975179216,10000000000,1
56,56,0,1,98,19,0,975179216,975179216,10000000000,1
57,57,0,1,98,19,0,975179216,975179216,10000000000,1
58,58,0,1,98,19,0,975179216,975179216,10000000000,1
59,0,1,-1,1,0,19,1627463138,-1627463138,10000000000,1
60,1,1,-1,5,1,18,1102058093,-1102058093,812412783,1
61,2,1,-1,5,1,18,1102058093,-1102058093,812412783,1
62,3,1,-1,5,1,18,1102058093,-1102058093,812412783,1
63,4,1,-1,14,2,12,698772247,-698772247,4054536444,1
64,5,1,-1,18,3,18,752009486,-752009486,812412783,1
65,6,1,-1,18,3,18,752009486,-752009486,812412783,1
66,7,1,-1,18,3,18,752009486,-752009486,812412783,1
67,8,1,-1,18,3,18,752009486,-752009486,812412783,1
68,9,1,-1,20,4,15,1005170621,-1005170621,1464034193,1
69,10,1,-1,26,5,12,836644313,-836644313,4054536444,1
70,11,1,-1,26,5,12,836644313,-836644313,4054536444,1
71,12,1,-1,26,5,12,836644313,-836644313,4054536444,1
72,13,1,-1,26,5,12,836644313,-836644313,4054536444,1
73,14,1,-1,33,6,18,729893020,-729893020,812412783,1
74,15,1,-1,35,7,12,824613524,-824613524,4054536444,1
75,16,1,-1,35,7,12,824613524,-824613524,4054536444,1
76,17,1,-1,35,7,12,824613524,-824613524,4054536444,1
77,18,1,-1,35,7,12,824613524,-824613524,4054536444,1
78,19,1,-1,35,7,12,824613524,-824613524,4054536444,1
79,20,1,-1,35,7,12,824613524,-824613524,4054536444,1
80,21,1,-1,40,8,19,1153357978,-1153357978,10000000000,1
81,22,1,-1,47,9,19,899196087,-899196087,10000000000,1
82,23,1,-1,47,9,19,899196087,-899196087,10000000000,1
83,24,1,-1,47,9,19,899196087,-899196087,10000000000,1
84,25,1,-1,47,9,19,899196087,-899196087,10000000000,1
85,26,1,-1,47,9,19,899196087,-899196087,10000000000,1
86,27,1,-1,52,10,11,899484360,-899484360,7465207748,1
87,28,1,-1,52,10,11,899484360,-899484360,7465207748,1
88,29,1,-1,56,11,10,1457861554,-1457861554,6047383004,1
89,30,1,-1,56,11,10,1457861554,-1457861554,6047383004,1
90,31,1,-1,56,11,10,1457861554,-1457861554,6047383004,1
91,32,1,-1,62,12,10,791735858,-791735858,6047383004,1
92,33,1,-1,69,13,18,725222376,-725222376,812412783,1
93,34,1,-1,69,13,18,725222376,-725222376,812412783,1
94,35,1,-1,69,13,18,725222376,-725222376,812412783,1
95,36,1,-1,69,13,18,725222376,-725222376,812412783,1
96,37,1,-1,69,13,18,725222376,-725222376,812412783,1
97,38,1,-1,70,14,17,897503723,-897503723,2323258234,1
98,39,1,-1,70,14,17,897503723,-897503723,2323258234,1
99,40,1,-1,79,15,14,688665419,-688665419,2807949144,1
100,41,1,-1,79,15,14,688665419,-688665419,2807949144,1
101,42,1,-1,79,15,14,688665419,-688665419,2807949144,1
102,43,1,-1,79,15,14,688665419,-688665419,2807949144,1
103,44,1,-1,79,15,14,688665419,-688665419,2807949144,1
104,45,1,-1,81,16,13,784748863,-784748863,141468728,1
105,46,1,-1,85,17,14,901943407,-901943407,2807949144,1
106,47,1,-1,85,17,14,901943407,-901943407,2807949144,1
107,48,1,-1,85,17,14,901943407,-901943407,2807949144,1
108,49,1,-1,92,18,15,745272872,-745272872,1464034193,1
109,50,1,-1,92,18,15,745272872,-745272872,1464034193,1
110,51,1,-1,92,18,15,745272872,-745272872,1464034193,1
111,52,1,-1,92,18,15,745272872,-745272872,1464034193,1
112,53,1,-1,99,19,14,902187790,-902187790,2807949144,1
113,54,1,-1,99,19,14,902187790,-902187790,2807949144,1
114,55,1,-1,99,19,14,902187790,-902187790,2807949144,1
115,56,1,-1,99,19,14,902187790,-902187790,2807949144,1
116,57,1,-1,99,19,14,902187790,-902187790,2807949144,1
117,58,1,-1,99,19,14,902187790,-902187790,2807949144,1
