shell,start,iter,F,grad_norm,z_std,z_max,z_min
12,0,1,3.8857805861877323e-16,1.7645911436723984e-14,7.054352545826311e-16,8.557969148152283e-16,-9.205599245850301e-16
12,1,1,8.328923377994958e-16,1.408129236614153e-10,3.888787151462995e-11,1.1405242028008948e-10,-6.200230606828756e-11
12,2,1,-0.07680480913170051,0.3207564301309342,0.09606148627010015,0.12882350329029513,-0.2608753879419729
12,2,11,-1.83245758167873e-13,5.214736977030101e-07,1.4401435384604493e-07,1.8436458970981826e-07,-4.120740477309383e-07
12,3,1,-0.11506025008963394,0.40527359091758897,0.11566138259433957,0.18536620476238735,-0.24232408295998692
12,3,11,-2.5825742335416815e-13,6.190246040847672e-07,1.7095477943791381e-07,2.600926045650076e-07,-3.7778918261654956e-07
12,4,1,-0.246011267165005,0.5540367114423114,0.1771642781505576,0.2255285757100034,-0.48607760337820966
12,4,11,-6.610302068515186e-13,9.877336309280568e-07,2.727804929598867e-07,3.1989608707245286e-07,-8.212876234420578e-07
12,5,1,-0.12028887176036773,0.39942465597435284,0.12075418282174254,0.17878273874688058,-0.31728700154906414
12,5,11,-2.9181869513917604e-13,6.578287465432156e-07,1.8167126199630525e-07,2.5234637475230166e-07,-5.092268541782597e-07
12,6,1,-0.11651469378992085,0.4047323451588508,0.1171789323811631,0.17676192720468722,-0.30531303397252785
12,6,11,-2.6909647389920246e-13,6.317186757577038e-07,1.744604851667311e-07,2.492832751011315e-07,-4.881677628431159e-07
12,7,1,-0.11707581082500396,0.3826728364470992,0.12038110776149477,0.14826747188836875,-0.2902700980515093
12,7,11,-2.930058197556868e-13,6.596243996191079e-07,1.821671678240386e-07,2.127696719212922e-07,-4.6090768662611663e-07
12,8,1,-0.12248197886844037,0.3926088426201452,0.12329041955627237,0.1612706765421359,-0.2910795634367147
12,8,11,-3.093776606071869e-13,6.770339802678657e-07,1.869751413590126e-07,2.3008788776816648e-07,-4.6195077123652354e-07
12,9,1,-0.16332464987448891,0.4441936653601373,0.14521075293248123,0.17344115348279504,-0.43896581250851247
12,9,11,-4.4869581420381465e-13,8.138515027507404e-07,2.2475980493078115e-07,2.489184167172442e-07,-7.338559195654382e-07
12,10,1,-0.11726738213301269,0.4116842588211968,0.11661743717166863,0.19946694299598783,-0.2604085516473993
12,10,11,-2.641545639299833e-13,6.240450868277287e-07,1.7234127653893593e-07,2.780871008270822e-07,-4.089572435819296e-07
12,11,1,-0.13465898411360067,0.3960155875751015,0.13197444292082314,0.1458615916554522,-0.3195965773836759
12,11,11,-3.661120221760909e-13,7.36745106185936e-07,2.0346546650947256e-07,2.111823085300364e-07,-5.1182351322957e-07
12,12,1,-0.042642778203651366,0.24519195951256198,0.0705094257898478,0.1359298069799568,-0.192244806979117
12,12,11,-9.67750275540432e-14,3.781325998919512e-07,1.0442811957746754e-07,1.9159701844942838e-07,-2.974854353349075e-07
12,13,1,-0.1108811497124893,0.351039639341578,0.12150263819709489,0.17077462761903872,-0.34882704870751857
12,13,11,-3.1796298454319857e-13,6.871538283903099e-07,1.8976995597381385e-07,2.4226528163038605e-07,-5.665656446398681e-07
12,14,1,-0.09529140543460513,0.3958126116631967,0.10151843701947434,0.2249751650370473,-0.17982793546541606
12,14,11,-1.8793204619322592e-13,5.283347465769259e-07,1.4590912065640064e-07,3.0823573515754336e-07,-2.741346290597138e-07
12,15,1,-0.15963331939919534,0.5016990664387952,0.13360573267082856,0.2507614350091995,-0.3072440021536131
12,15,11,-3.367221630867003e-13,7.060798372840215e-07,1.9499663864913153e-07,3.4365232115148034e-07,-4.894688503558883e-07
12,16,1,-0.13299961374966995,0.4255471724502743,0.12568424067317868,0.1725706986951237,-0.2561479731328932
12,16,11,-3.101009945568901e-13,6.775513480160744e-07,1.871179998954078e-07,2.449402763195814e-07,-4.0036466346336937e-07
12,17,1,-0.46425700543723103,0.6839675260076329,0.26255263276211965,0.32993884123995354,-0.693350965716247
12,17,11,-1.6452006927422663e-12,1.559701612234466e-06,4.307400044392882e-07,4.641232014597165e-07,-1.2413656192508776e-06
12,18,1,-0.7151288826535596,0.7729082938429557,0.3476909917326187,0.36640944669161213,-1.0175199601442986
12,18,11,-3.2153065169929825e-12,2.180522300349313e-06,6.021912657826566e-07,5.341348378956954e-07,-2.010154505858586e-06
12,19,1,-0.45015624298608037,0.6796940503551705,0.2571284806094897,0.3229828302806751,-0.6568810055123985
12,19,11,-1.5648198683448054e-12,1.520796688322995e-06,4.1999568551884306e-07,4.545696078337121e-07,-1.161627367913429e-06
12,20,1,-0.43423846862378723,0.6846645689876011,0.2458975555138774,0.324339041926303,-0.5815199209889056
12,20,11,-1.3502322744602643e-12,1.4131781089602358e-06,3.902747548749812e-07,4.527740644815412e-07,-1.0018298773534674e-06
12,21,1,-0.4516045756396232,0.7645557821922847,0.23625657624478863,0.34619975597569597,-0.40872622455995217
12,21,11,-1.1197932049921273e-12,1.2867079583747835e-06,3.5534759633653406e-07,4.7449639335717014e-07,-6.566711422888685e-07
12,22,1,-0.5270514930830459,0.7485551131053325,0.27100706317115575,0.35862419894247516,-0.5579198110209032
12,22,11,-1.6273261335977786e-12,1.5515272515612643e-06,4.284823642449586e-07,4.98694793019383e-07,-9.4518922082253e-07
12,23,1,-0.44213994867705,0.7032998864598673,0.24414543466177216,0.29997386714583674,-0.5603631910735855
12,23,11,-1.2923238660400387e-12,1.382235282738502e-06,3.8172929336415926e-07,4.23925964487384e-07,-9.576641322830203e-07
12,24,1,-0.6607023886890055,0.7931564856529355,0.3266038264016968,0.3764694926669109,-0.8462736380981336
12,24,11,-2.7575969525530503e-12,2.018499194692523e-06,5.574455284398923e-07,5.366143147628771e-07,-1.5796956378106392e-06
12,25,1,-0.6291807014611202,0.8474389769650614,0.29787632505932626,0.366327014127037,-0.8253974566155876
12,25,11,-2.052906361919816e-12,1.7425693765674046e-06,4.812422573058716e-07,5.151638897727098e-07,-1.5394709175375886e-06
12,26,1,-0.39251326113146523,0.6865842351117825,0.22668418390110853,0.3704799082436279,-0.48641266349232193
12,26,11,-1.0903765090402315e-12,1.2694381482513617e-06,3.5057829194037916e-07,4.996919865249617e-07,-8.108957616726223e-07
12,27,1,-0.6038522835830304,0.7312305320657522,0.31620363310727795,0.34916322645988096,-0.8262859901206818
12,27,11,-2.6211017893042405e-12,1.9684788536403075e-06,5.436315068708236e-07,5.031727861071717e-07,-1.534967082414301e-06
12,28,1,-0.30674067739573085,0.6316605960386439,0.19524643506644884,0.29790719926345166,-0.415403655447945
12,28,11,-7.76878497742224e-13,1.0724472052456227e-06,2.961756432218636e-07,4.103323445865848e-07,-6.79141378198108e-07
12,29,1,-0.517693784699685,0.8008723705592103,0.25723046867158855,0.371720442210831,-0.45744259885149197
12,29,11,-1.364464118440141e-12,1.4211370632442681e-06,3.9247265440979995e-07,5.086901059364249e-07,-7.459239443179057e-07
12,30,1,-0.5410219754005638,0.705307199818739,0.29212890892242466,0.3139095692434958,-0.8645971734882987
12,30,11,-2.147619788889636e-12,1.7821717382481138e-06,4.921793100653089e-07,4.543696862705881e-07,-1.6365152589879504e-06
12,31,1,-0.4025610435008231,0.7057696702271591,0.2261775508538577,0.3127372065166395,-0.452603383147066
12,31,11,-1.0547859932237064e-12,1.2488084290901906e-06,3.448809884760042e-07,4.340733751167631e-07,-7.442793666219194e-07
12,32,1,-1.4754352509669157,0.9313622098229825,0.5917427895620901,0.5187327310767129,-1.635465305991045
12,32,11,-1.258917186026476e-11,4.313949381646612e-06,1.1913784447277113e-06,8.313182624537572e-07,-3.793046146476546e-06
12,33,1,-1.0023994512937116,0.8657607151391989,0.44499755669382346,0.44767445093963576,-1.4400090027449446
12,33,11,-6.332059757850313e-12,3.0593453088169354e-06,8.448954402652201e-07,6.666369220541644e-07,-3.2127919586227414e-06
12,34,1,-2.420431280684718,1.06505679247739,0.7652584203188698,0.6894094494645854,-2.2365103306896494
12,34,11,-2.6247407942104326e-11,6.229029613451033e-06,1.720266619125491e-06,1.2642687666701086e-06,-6.2003510249902274e-06
12,34,21,2.3487405752531087e-23,9.091563536816924e-12,2.5107534259798665e-12,1.8456347561383094e-12,-9.049649918362374e-12
12,35,1,-0.9874229159259851,0.826352577692556,0.44942147953130446,0.44264616355341846,-1.263413705757315
12,35,11,-6.3232635561682364e-12,3.0573157982019647e-06,8.443345878277586e-07,6.621042331798592e-07,-2.661386723328268e-06
12,36,1,-1.2618907145309468,0.97434627270971,0.48082020931331737,0.4967404541733582,-1.182777778264019
12,36,11,-6.498867795485147e-12,3.0995420168725956e-06,8.559956916400534e-07,7.352207627570447e-07,-2.4104241600231445e-06
12,37,1,-2.5497469465366525,1.022562788523721,0.8005823219819946,0.7187123943118485,-1.602707745876089
12,37,11,-2.4027793333618775e-11,5.959766310618288e-06,1.6459005476727823e-06,1.3330803022832833e-06,-3.6690515421025193e-06
12,37,21,1.1102230581324337e-15,8.698877434258255e-12,2.402314173814303e-12,1.9454808134858086e-12,-5.355456818764129e-12
12,38,1,-0.9681916943105944,0.7441806919694983,0.508797976184287,0.4636379505412712,-1.5768506002453608
12,38,11,-1.0308471005075054e-11,3.903626527330045e-06,1.0780605854062295e-06,7.22561538191419e-07,-3.636088976810326e-06
12,39,1,-0.9455708201264335,1.0397233124449086,0.37433842761702163,0.4572011529381292,-1.0741271421630638
12,39,11,-3.4770731974241088e-12,2.267028413204016e-06,6.260814740491983e-07,6.401294308577127e-07,-2.1531520790751893e-06
12,40,1,-1.6671314567251905,1.0675496501074508,0.6679487586726266,0.5901808103035754,-2.210767160057478
12,40,11,-2.0209136581455438e-11,5.465901696996841e-06,1.50951541823797e-06,9.672569958994548e-07,-5.9873187747341615e-06
12,40,21,-4.440892030847915e-16,7.978124540264221e-12,2.203294824637441e-12,1.4120741613050896e-12,-8.739139042089754e-12
12,41,1,-1.2669136593043873,1.0424710342479635,0.4700936307023525,0.5043371407742174,-1.282001589943802
