shell,label,F,grad_norm,z_std,exceeds_zero
12,equal,0.0,2.2188911926254157e-14,0.0,False
12,one_hot_scale_0.5,-0.13395977949787619,0.6597664599161526,0.09991315673568167,False
12,one_hot_scale_1,-0.7960577920665859,2.233756197986706,0.19982631347136334,False
12,one_hot_scale_2,-5.607157710184892,7.725068331701278,0.3996526269427267,False
12,one_hot_scale_4,-25.65279043324064,11.16110436493905,0.7993052538854534,False
12,one_hot_scale_8,-69.6245043219334,11.23689704114861,1.5986105077709067,False
12,two_level_k1_scale0.5,-0.13395977949787619,0.6597664599161526,0.09991315673568167,False
12,two_level_k1_scale1,-0.7960577920665859,2.233756197986706,0.19982631347136334,False
12,two_level_k1_scale2,-5.607157710184892,7.725068331701278,0.3996526269427267,False
12,two_level_k1_scale4,-25.65279043324064,11.16110436493905,0.7993052538854534,False
12,two_level_k2_scale0.5,-0.24368825073366418,0.8441032009705013,0.13819269959814165,False
12,two_level_k2_scale1,-1.330193604322052,2.493082613109443,0.2763853991962833,False
12,two_level_k2_scale2,-7.349825352062356,6.085953705294946,0.5527707983925666,False
12,two_level_k2_scale4,-26.503899896922626,7.381752491449774,1.1055415967851332,False
12,two_level_k3_scale0.5,-0.332469275846748,0.9377849396533025,0.16535945694153692,False
12,two_level_k3_scale1,-1.6900647181167856,2.4798502216783747,0.33071891388307384,False
12,two_level_k3_scale2,-8.024469751104519,4.961819052021709,0.6614378277661477,False
12,two_level_k3_scale4,-25.691635501250502,5.577112538614676,1.3228756555322954,False
12,two_level_k4_scale0.5,-0.4030239624610581,0.9843944658944468,0.1863389981249825,False
12,two_level_k4_scale1,-1.9268874956027422,2.3728065811337142,0.372677996249965,False
12,two_level_k4_scale2,-8.201670432895199,4.143758888592838,0.74535599249993,False
12,two_level_k4_scale4,-24.230082381727062,4.42237162438973,1.49071198499986,False
12,two_level_k6_scale0.5,-0.49823276186839016,1.0009285754931851,0.21650635094610965,False
12,two_level_k6_scale1,-2.15160808305821,2.0781408326764623,0.4330127018922193,False
12,two_level_k6_scale2,-7.839643963207489,3.0095215314892365,0.8660254037844386,False
12,two_level_k6_scale4,-20.56043382015226,2.9410449904703544,1.7320508075688772,False
12,two_level_k8_scale0.5,-0.543968050190434,0.9637843182695662,0.23570226039551587,False
12,two_level_k8_scale1,-2.172260815608775,1.8000649759031404,0.47140452079103173,False
12,two_level_k8_scale2,-7.306642414326482,2.470645566641923,0.9428090415820635,False
12,two_level_k8_scale4,-19.16029301786861,2.5956805914967633,1.885618083164127,False
12,two_level_k10_scale0.5,-0.5502263619624207,0.8964969790706145,0.24650332429581728,False
12,two_level_k10_scale1,-2.0411881529957023,1.5028807263159718,0.49300664859163457,False
12,two_level_k10_scale2,-6.158061677577959,1.7784801393445175,0.9860132971832691,False
12,two_level_k10_scale4,-14.504729950503801,1.7066161047223316,1.9720265943665383,False
12,two_level_k12_scale0.5,-0.5256540536156803,0.8146470510344266,0.25,False
12,two_level_k12_scale1,-1.8341238932917818,1.2530736592670189,0.5,False
12,two_level_k12_scale2,-5.1393702812945605,1.358133197208717,1.0,False
12,two_level_k12_scale4,-11.47534117136236,1.2492113941151366,2.0,False
12,two_level_k16_scale0.5,-0.40726859094763457,0.6270080575408863,0.23570226039551584,False
12,two_level_k16_scale1,-1.2867342723545478,0.845540537458822,0.4714045207910317,False
12,two_level_k16_scale2,-3.3043645444718948,0.8750567852568069,0.9428090415820634,False
12,two_level_k16_scale4,-7.316158203003597,0.8662422650794642,1.8856180831641267,False
12,two_level_k20_scale0.5,-0.22407093705998204,0.410024733897573,0.1863389981249825,False
12,two_level_k20_scale1,-0.6428772439131394,0.4704232383888602,0.372677996249965,False
12,two_level_k20_scale2,-1.354489313425729,0.2894054331036712,0.74535599249993,False
12,two_level_k20_scale4,-1.8770569498565806,0.051156183314246984,1.49071198499986,False
12,two_level_k23_scale0.5,-0.0589216498733888,0.19268214650294901,0.09991315673568166,False
12,two_level_k23_scale1,-0.15972919928299645,0.20301932536883852,0.19982631347136331,False
12,two_level_k23_scale2,-0.31563757433259465,0.11201297216521884,0.39965262694272663,False
12,two_level_k23_scale4,-0.4197270774810571,0.018194268673258334,0.7993052538854533,False
12,random_scale0.5_0,-2.2360998225486286,2.5773028785781835,0.481921096562084,False
12,random_scale0.5_1,-2.6528171200333404,3.7424549483626843,0.4862995976844343,False
12,random_scale0.5_2,-2.0344426940594706,2.0943350022608507,0.4756124095566996,False
12,random_scale0.5_3,-2.774685919584379,3.2335247828221667,0.487215656766995,False
12,random_scale0.5_4,-2.0417699062698382,2.171053055435059,0.49462666254871496,False
12,random_scale0.5_5,-2.7141422518679694,2.857084108257551,0.5010388733907457,False
12,random_scale0.5_6,-1.7750237452374695,2.1737548879524335,0.42067444872026794,False
12,random_scale0.5_7,-1.9932321533182011,1.753448840405198,0.5030243341722251,False
12,random_scale0.5_8,-4.337110816442426,5.374683598440788,0.5422120455802559,False
