shell,blocks,best_pattern_F,best_pattern_label,best_multistart_F,best_multistart_start,best_kkt_F,best_kkt_start,any_counterexample_found
12,2576,0.0,equal,2.0475288936992494e-15,158,1.7208457753428432e-15,27,False
16,759,0.0,equal,1.5090504466035344e-15,222,9.621934899331655e-16,6,False
