slack_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,positive_flag,discriminant_equal_flag
0,0,5,0,5,350487408079,1,0
1,0,6,0,5,700974816159,1,0
2,0,7,0,5,700974816159,1,0
3,0,8,0,5,1268075355060,1,0
4,0,9,0,5,1268075355060,1,0
5,0,10,0,5,350487408079,1,0
6,0,11,0,5,700974816159,1,0
7,0,12,0,5,1268075355060,1,0
8,0,13,0,5,1268075355060,1,0
9,0,14,0,5,700974816159,1,0
10,0,15,0,5,350487408079,1,0
11,0,16,0,5,700974816159,1,0
12,0,17,0,5,1268075355060,1,0
13,0,18,0,5,1268075355060,1,0
14,0,19,0,5,700974816159,1,0
15,0,20,0,5,1835175893962,1,0
16,0,21,0,5,1835175893962,1,0
17,0,22,0,5,2752763840942,1,0
18,0,23,0,5,2402276432863,1,0
19,0,24,0,5,2402276432863,1,0
20,0,25,0,5,3103251249022,1,0
21,0,26,0,5,3103251249022,1,0
22,0,27,0,5,3103251249022,1,0
23,0,28,0,5,3103251249022,1,0
24,0,29,0,5,3103251249022,1,0
25,0,30,0,5,1835175893962,1,0
26,0,31,0,5,2402276432863,1,0
27,0,32,0,5,2752763840942,1,0
28,0,33,0,5,2402276432863,1,0
29,0,34,0,5,1835175893962,1,0
30,0,35,0,5,1835175893962,1,0
31,0,36,0,5,1835175893962,1,0
32,0,37,0,5,2402276432863,1,0
33,0,38,0,5,2752763840942,1,0
34,0,39,0,5,2402276432863,1,0
35,0,40,0,5,2752763840942,1,0
36,0,41,0,5,2402276432863,1,0
37,0,42,0,5,1835175893962,1,0
38,0,43,0,5,2402276432863,1,0
39,0,44,0,5,1835175893962,1,0
40,0,45,0,5,350487408079,1,0
41,0,46,0,5,700974816159,1,0
42,0,47,0,5,1268075355060,1,0
43,0,48,0,5,1268075355060,1,0
44,0,49,0,5,700974816159,1,0
45,0,50,0,5,1835175893962,1,0
46,0,51,0,5,2752763840942,1,0
47,0,52,0,5,2402276432863,1,0
48,0,53,0,5,2402276432863,1,0
49,0,54,0,5,1835175893962,1,0
50,0,55,0,5,350487408079,1,0
51,0,56,0,5,700974816159,1,0
52,0,57,0,5,1268075355060,1,0
53,0,58,0,5,700974816159,1,0
