face_id,face_type_code,face_size,normal_x_x1e12,normal_y_x1e12,normal_z_x1e12,offset_x1e12,nonface_vertex_count,min_slack_x1e12,max_slack_x1e12,positive_slack_count,zero_slack_count
0,0,5,0,-525731112119,-850650808352,1551625624511,55,350487408079,3103251249022,55,0
1,0,5,0,525731112119,-850650808352,1551625624511,55,350487408079,3103251249022,55,0
2,0,5,-850650808352,0,-525731112119,1551625624511,55,350487408079,3103251249022,55,0
3,0,5,850650808352,0,-525731112119,1551625624511,55,350487408079,3103251249022,55,0
4,0,5,525731112119,850650808352,0,1551625624511,55,350487408079,3103251249022,55,0
5,0,5,0,525731112119,850650808352,1551625624511,55,350487408079,3103251249022,55,0
6,0,5,850650808352,0,525731112119,1551625624511,55,350487408079,3103251249022,55,0
7,0,5,-525731112119,850650808352,0,1551625624511,55,350487408079,3103251249022,55,0
8,0,5,0,-525731112119,850650808352,1551625624511,55,350487408079,3103251249022,55,0
9,0,5,525731112119,-850650808352,0,1551625624511,55,350487408079,3103251249022,55,0
10,0,5,-850650808352,0,525731112119,1551625624511,55,350487408079,3103251249022,55,0
11,0,5,-525731112119,-850650808352,0,1551625624511,55,350487408079,3103251249022,55,0
12,1,6,-356822089773,0,-934172358963,1511522628152,54,384900179460,3023045256305,54,0
13,1,6,356822089773,0,-934172358963,1511522628152,54,384900179460,3023045256305,54,0
14,1,6,577350269190,577350269190,577350269190,1511522628152,54,384900179460,3023045256305,54,0
15,1,6,0,934172358963,356822089773,1511522628152,54,384900179460,3023045256305,54,0
16,1,6,-577350269190,577350269190,-577350269190,1511522628152,54,384900179460,3023045256305,54,0
17,1,6,356822089773,0,934172358963,1511522628152,54,384900179460,3023045256305,54,0
18,1,6,577350269190,-577350269190,577350269190,1511522628152,54,384900179460,3023045256305,54,0
19,1,6,577350269190,-577350269190,-577350269190,1511522628152,54,384900179460,3023045256305,54,0
20,1,6,0,934172358963,-356822089773,1511522628152,54,384900179460,3023045256305,54,0
21,1,6,934172358963,-356822089773,0,1511522628152,54,384900179460,3023045256305,54,0
22,1,6,-934172358963,356822089773,0,1511522628152,54,384900179460,3023045256305,54,0
23,1,6,-577350269190,-577350269190,-577350269190,1511522628152,54,384900179460,3023045256305,54,0
24,1,6,-577350269190,577350269190,577350269190,1511522628152,54,384900179460,3023045256305,54,0
25,1,6,-934172358963,-356822089773,0,1511522628152,54,384900179460,3023045256305,54,0
26,1,6,577350269190,577350269190,-577350269190,1511522628152,54,384900179460,3023045256305,54,0
27,1,6,934172358963,356822089773,0,1511522628152,54,384900179460,3023045256305,54,0
28,1,6,0,-934172358963,-356822089773,1511522628152,54,384900179460,3023045256305,54,0
29,1,6,0,-934172358963,356822089773,1511522628152,54,384900179460,3023045256305,54,0
30,1,6,-356822089773,0,934172358963,1511522628152,54,384900179460,3023045256305,54,0
31,1,6,-577350269190,-577350269190,577350269190,1511522628152,54,384900179460,3023045256305,54,0
