repair_id,edit_candidate_id,target_word_id,repair_word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,symbol_7_id,first_node44_raw_rank,first_node44_consumed_symbol_count,post_aperture_tail_length,post_aperture_tail_symbol_0_id,target_last_symbol_rank,target_consumed_before_node44_flag,target_consumed_after_node44_flag,first_node44_prefix_path_count,first_node44_prefix_closed_path_count,full_repair_path_count,full_repair_closed_path_count,distinct_full_end_carrier_count,minimal_extra_closure_length,minimal_closure_suffix_count,closure_suffix_symbol_0_id,closure_suffix_symbol_1_id,closure_extended_path_count,closure_closed_path_count,early_hit_nonclosing_flag,post_aperture_tail_closes_cycle_flag,needs_extra_closure_after_node44_flag
0,20,0,6,2,1,4,5,2,5,-1,-1,4,5,1,5,5,0,1,24,4,48,8,5,0,1,-1,-1,48,8,0,1,0
1,316,1,6,2,1,5,2,5,4,-1,-1,5,6,0,-1,5,1,0,16,0,16,0,4,1,1,3,-1,48,12,0,0,1
