gate_id,p5_id,face_id,label_mask,f4_delta,eta6_preserved_flag,p0_support,p1_support,p2_support,p3_support,p4_support,support_spread
0,1,12,30,65088,1,79053568,49877248,149721600,79918080,103191552,99844352
1,47,12,30,-65088,1,49877248,79053568,79918080,149721600,103191552,99844352
2,57,22,45,-532224,1,346335232,551981056,261373952,522930176,404059648,290607104
3,79,22,45,532224,1,551981056,346335232,522930176,261373952,404059648,290607104
4,110,26,51,-44896,1,27712512,28870464,40113408,30147840,34910208,12400896
5,128,26,51,44896,1,28870464,27712512,30147840,40113408,34910208,12400896
