corridor_edge_id,source_cell_id,target_cell_id,source_component_id,target_component_id,edit_kind_code,source_word_length,target_word_length,source_angel_local_mass,target_angel_local_mass,endpoint13_mass_delta_signed,closure_count_delta_signed,template_count_delta_signed
0,0,7,1,1,0,13,13,25,20,-12,-20,-5
1,0,11,1,1,1,13,12,25,123,24,64,2
2,0,12,1,1,1,13,14,25,123,24,64,2
3,0,13,1,1,1,13,12,25,20,-12,-20,-5
4,0,14,1,1,0,13,13,25,18,-12,0,-4
5,0,15,1,1,1,13,14,25,216,48,124,2
6,0,16,1,1,1,13,14,25,20,-12,-20,-5
7,0,17,1,1,1,13,14,25,54,-12,28,-1
8,0,19,1,1,1,13,14,25,25,0,0,0
9,0,20,1,1,1,13,14,25,216,48,124,2
10,1,6,1,1,1,11,10,25,20,-12,-20,-5
11,1,10,1,1,0,11,11,25,12,-12,-12,-4
12,1,11,1,1,1,11,12,25,123,24,64,2
13,1,13,1,1,1,11,12,25,20,-12,-20,-5
14,1,18,1,1,1,11,12,25,54,-12,28,-1
15,2,3,0,0,1,13,12,0,35,12,-12,-3
16,2,4,0,0,0,13,13,0,27,0,12,3
17,2,5,0,0,1,13,14,0,15,0,-12,-3
18,2,8,0,0,0,13,13,0,69,24,36,3
19,2,9,0,0,0,13,13,0,112,36,60,1
20,2,21,0,0,1,13,12,0,36,8,-16,-4
21,2,22,0,0,1,13,14,0,38,0,24,0
22,2,23,0,0,1,13,14,0,38,0,24,0
23,2,24,0,0,1,13,14,0,22,0,-16,-5
24,3,4,0,0,1,12,13,35,27,-12,24,6
25,3,21,0,0,0,12,12,35,36,-4,-4,-1
26,4,5,0,0,1,13,14,27,15,0,-24,-6
27,6,10,1,1,1,10,11,20,12,0,8,1
28,7,19,1,1,1,13,14,20,25,12,20,5
29,7,13,1,1,1,13,12,20,20,0,0,0
30,7,14,1,1,0,13,13,20,18,0,20,1
31,8,9,0,0,0,13,13,69,112,12,24,-2
32,10,11,1,1,1,11,12,12,123,36,76,6
33,10,13,1,1,1,11,12,12,20,0,-8,-1
34,12,20,1,1,0,14,14,123,216,24,60,0
35,13,14,1,1,1,12,13,20,18,0,20,1
36,14,15,1,1,1,13,14,18,216,60,124,6
37,14,16,1,1,1,13,14,18,20,0,-20,-1
38,15,19,1,1,0,14,14,216,25,-48,-124,-2
39,15,20,1,1,0,14,14,216,216,0,0,0
