component_id,component_kind_code,cell_count,edge_count,selected_anchor_flag,oversplitter_anchor_count,target_cell_count,clear_cell_count,underclosed_endpoint13_free_all_four_count,endpoint13_heavy_cell_count,min_variation,min_angel_local_mass,max_endpoint13_path_count,min_endpoint13_path_count,selected_to_oversplitter_bridge_flag
0,0,10,13,1,0,1,2,1,4,137,0,36,0,0
1,1,15,27,0,2,0,0,4,7,175,12,60,0,0
