observable_id,observable_code,value_x1e12,aux_id
0,0,3000000000000,-1
1,1,291000000000000,-1
2,2,246000000000000,-1
3,3,51000000000000,-1
4,4,45000000000000,-1
5,5,25000000000000,-1
6,6,40000000000000,-1
7,7,2000000000000,-1
8,8,10000000000000,-1
9,9,15000000000000,-1
10,10,1000000000000,-1
11,11,2000000000000,-1
12,12,2000000000000,-1
13,13,0,-1
14,14,5000000000000,-1
15,15,0,-1
16,16,0,-1
17,17,137000000000000,-1
18,18,36000000000000,-1
19,19,9000000000000,-1
20,20,175000000000000,-1
21,21,8000000000000,-1
22,22,2000000000000,-1
