pair_id,p5_a,p5_b,f4_a,f4_b,face_a,face_b,mask_a,mask_b,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_single_floor_flag,support_equal_flag,joint_mult_value,eta6_preserved_flag
40,0,41,0,20,12,12,30,30,1,1,99683456,81644288,112841472,60479488,118168576,60479488,118168576,57689088,0,0,1210318848,1
41,0,42,0,21,12,12,30,30,1,1,88149632,32922368,137756160,35274752,68911616,32922368,137756160,104833792,0,0,987365376,1
42,0,43,0,21,12,12,30,30,1,1,155335296,46696192,279769600,62501888,165046272,46696192,279769600,233073408,0,0,1210318848,1
43,0,44,0,22,12,12,30,30,1,1,53899648,39475968,72633216,47291648,60278784,39475968,72633216,33157248,0,0,987365376,1
44,0,45,0,22,12,12,30,30,1,1,84670336,67830528,134071296,82905088,181421056,67830528,181421056,113590528,0,0,1210318848,1
45,0,46,0,23,12,12,30,30,1,1,56990848,56990848,77904896,77904896,62959616,56990848,77904896,20914048,0,0,987365376,1
46,0,47,0,23,12,12,30,30,1,1,84841088,101080576,134221824,173322752,134671360,84841088,173322752,88481664,0,0,1210318848,1
47,0,48,0,24,12,22,30,45,0,0,175497920,131205888,172913024,50800640,69265408,50800640,175497920,124697280,0,0,1274019840,1
48,0,49,0,24,12,22,30,45,0,0,542738240,416955648,517992960,237314048,378099712,237314048,542738240,305424192,0,0,2420637696,1
49,0,50,0,25,12,22,30,45,0,0,244008320,69987584,220509952,38891520,70127616,38891520,244008320,205116800,0,0,1274019840,1
50,0,51,0,25,12,22,30,45,0,0,805310848,200145664,776446976,160833536,408918016,160833536,805310848,644477312,0,0,2420637696,1
51,0,52,0,26,12,22,30,45,0,0,132510976,177972224,78163968,154254336,71314688,71314688,177972224,106657536,0,0,1274019840,1
52,0,53,0,26,12,22,30,45,0,0,387766784,585459200,234937344,541707776,432550912,234937344,585459200,350521856,0,0,2420637696,1
53,0,54,0,27,12,22,30,45,0,0,124957056,42502912,159355008,59487744,120699136,42502912,159355008,116852096,0,0,1274019840,1
54,0,55,0,27,12,22,30,45,0,0,435995008,112270080,674943488,230236160,599636480,112270080,674943488,562673408,0,0,2420637696,1
55,0,56,0,28,12,22,30,45,0,0,128466816,171811584,83309568,141873408,64583680,64583680,171811584,107227904,0,0,1274019840,1
56,0,57,0,28,12,22,30,45,0,0,381299072,574008064,315677696,546531328,435539456,315677696,574008064,258330368,0,0,2420637696,1
57,0,58,0,29,12,22,30,45,0,0,92295552,67209984,153481216,75765248,112072640,67209984,153481216,86271232,0,0,1274019840,1
58,0,59,0,29,12,22,30,45,0,0,287752576,223173376,616246272,347872768,558113280,223173376,616246272,393072896,0,0,2420637696,1
59,0,60,0,30,12,22,30,45,0,0,61415296,137371392,92877824,78418560,77790208,61415296,137371392,75956096,0,0,1189085184,1
60,0,61,0,30,12,22,30,45,0,0,132569472,431049472,212667392,380793600,357065728,132569472,431049472,298480000,0,0,1868562432,1
61,0,62,0,31,12,22,30,45,0,0,68086144,65118976,135966720,76212224,73360768,65118976,135966720,70847744,0,0,1189085184,1
62,0,63,0,31,12,22,30,45,0,0,171090304,192199424,431932416,374034432,359443456,171090304,431932416,260842112,0,0,1868562432,1
63,0,64,0,32,12,22,30,45,0,0,86756224,104196864,78210240,143937536,73819744,73819744,143937536,70117792,0,0,1189085184,1
64,0,65,0,32,12,22,30,45,0,0,218085760,324410112,211662464,538599424,398530816,211662464,538599424,326936960,0,0,1868562432,1
