forbidden_id,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,first_missing_transition_rank,source_trace_node_id,source_suffix_left_symbol_id,source_suffix_right_symbol_id,label_symbol_id,raw_target_node_id,target_trace_node_id,target_suffix_left_symbol_id,target_suffix_right_symbol_id,duplicate_trace_flag,source_state_observed_count,observed_transition_count,bounded_exact_word_count,bounded_prefix_word_count,trace_detour_overhead,signature_valley_depth
0,2,1,4,2,5,3,28,1,4,2,28,28,4,2,1,410,0,0,0,2,37
1,2,1,5,2,4,4,29,5,2,4,44,44,2,4,0,7,0,0,0,2,37
