state_id,trace_node_id,suffix_left_symbol_id,suffix_right_symbol_id,visit_count,distinct_candidate_count,start_state_flag,post_x2_state_flag,node27_state_flag,node44_state_flag
0,48,5,3,1287,1287,1,0,0,0
1,42,3,2,1287,1287,0,1,0,0
2,27,2,1,1287,1287,0,0,1,0
3,28,1,4,410,410,0,0,0,0
4,34,4,5,285,283,0,0,0,0
5,44,5,2,1168,1168,0,0,0,1
6,34,5,1,2,2,0,0,0,0
7,34,1,4,7,7,0,0,0,0
8,27,1,3,192,192,0,0,1,0
9,31,3,4,136,136,0,0,0,0
10,50,4,5,258,258,0,0,0,0
11,29,1,5,51,51,0,0,0,0
12,29,5,2,7,7,0,0,0,0
13,45,2,5,3,3,0,0,0,0
14,44,5,4,119,119,0,0,0,1
15,7,1,0,137,137,0,0,0,0
16,7,0,2,13,13,0,0,0,0
17,14,2,5,9,9,0,0,0,0
18,26,1,2,140,140,0,0,0,0
19,29,2,5,90,90,0,0,0,0
20,22,1,1,403,403,0,0,0,0
21,22,1,2,55,55,0,0,0,0
22,26,2,2,41,41,0,0,0,0
23,39,2,5,21,21,0,0,0,0
24,29,2,1,2,2,0,0,0,0
25,19,5,0,2,2,0,0,0,0
26,19,0,4,7,7,0,0,0,0
27,19,4,5,155,155,0,0,0,0
28,35,5,5,14,14,0,0,0,0
29,35,5,1,3,3,0,0,0,0
30,7,2,1,2,2,0,0,0,0
31,34,5,4,50,50,0,0,0,0
32,53,4,4,56,56,0,0,0,0
33,53,4,5,474,474,0,0,0,0
34,9,0,4,108,108,0,0,0,0
35,9,4,0,10,10,0,0,0,0
36,9,0,1,4,4,0,0,0,0
37,9,1,4,42,42,0,0,0,0
38,8,3,0,10,10,0,0,0,0
39,8,0,1,4,4,0,0,0,0
40,33,4,4,280,280,0,0,0,0
41,24,1,4,182,182,0,0,0,0
42,22,2,1,32,32,0,0,0,0
43,26,2,1,10,10,0,0,0,0
44,29,5,1,2,2,0,0,0,0
45,30,3,3,96,96,0,0,0,0
46,47,3,4,126,126,0,0,0,0
47,49,4,4,122,122,0,0,0,0
48,14,2,0,2,2,0,0,0,0
49,13,0,4,36,36,0,0,0,0
50,20,5,0,3,3,0,0,0,0
51,54,5,4,8,8,0,0,0,0
52,10,0,5,4,4,0,0,0,0
53,19,5,4,4,4,0,0,0,0
54,8,0,3,28,28,0,0,0,0
55,16,3,4,30,30,0,0,0,0
56,7,2,0,32,32,0,0,0,0
57,14,5,0,2,2,0,0,0,0
58,7,0,1,2,2,0,0,0,0
59,25,1,5,20,20,0,0,0,0
60,11,2,0,10,10,0,0,0,0
61,2,2,0,2,2,0,0,0,0
62,18,4,4,52,52,0,0,0,0
63,4,0,0,6,6,0,0,0,0
64,4,0,4,60,60,0,0,0,0
65,23,1,3,46,46,0,0,0,0
66,3,0,0,6,6,0,0,0,0
67,6,1,0,104,104,0,0,0,0
68,1,0,0,58,58,0,0,0,0
69,6,0,1,32,32,0,0,0,0
70,1,0,1,10,10,0,0,0,0
71,6,1,1,4,4,0,0,0,0
72,47,4,3,16,16,0,0,0,0
73,49,3,4,104,104,0,0,0,0
74,31,4,3,66,66,0,0,0,0
75,49,4,3,36,36,0,0,0,0
76,47,3,3,24,24,0,0,0,0
77,21,1,1,186,146,0,0,0,0
78,52,4,4,326,236,0,0,0,0
79,46,3,3,32,32,0,0,0,0
80,12,0,3,4,4,0,0,0,0
81,2,0,0,4,4,0,0,0,0
82,1,1,0,2,2,0,0,0,0
83,3,0,3,4,4,0,0,0,0
84,8,1,3,4,4,0,0,0,0
85,50,4,3,6,6,0,0,0,0
86,15,3,3,6,6,0,0,0,0
87,16,4,3,4,4,0,0,0,0
88,0,0,0,14,14,0,0,0,0
