transition_id,source_state_id,target_state_id,source_trace_node_id,source_suffix_left_symbol_id,source_suffix_right_symbol_id,label_symbol_id,raw_target_node_id,target_trace_node_id,target_suffix_left_symbol_id,target_suffix_right_symbol_id,duplicate_trace_flag,node27_transition_flag,node44_transition_flag,observed_transition_count,distinct_candidate_count
155,85,73,50,4,3,4,49,49,3,4,0,0,0,6,6
156,65,45,23,1,3,3,30,30,3,3,0,0,0,12,12
157,54,86,8,0,3,3,15,15,3,3,0,0,0,6,6
158,86,46,15,3,3,4,47,47,3,4,0,0,0,6,6
159,34,87,9,0,4,3,16,16,4,3,0,0,0,4,4
160,87,73,16,4,3,4,49,49,3,4,0,0,0,4,4
161,55,47,16,3,4,4,49,49,4,4,0,0,0,4,4
162,41,74,24,1,4,3,31,31,4,3,0,0,0,8,8
163,77,67,21,1,1,0,6,6,1,0,0,0,0,22,22
164,77,65,21,1,1,3,23,23,1,3,0,0,0,20,20
165,68,88,1,0,0,0,0,0,0,0,0,0,0,14,14
166,88,64,0,0,0,4,4,4,0,4,0,0,0,14,14
167,32,78,53,4,4,4,52,52,4,4,0,0,0,12,12
168,62,78,18,4,4,4,52,52,4,4,0,0,0,14,14
