outgoing_id,label_symbol_id,target_suffix_left_symbol_id,target_suffix_right_symbol_id,raw_target_node_id,target_trace_node_id,signature_union_count,sector_coverage_count,preserves_immediate_x1_flag,avoids_node27_flag,keeps_geodesic_floor_flag,canonical_node44_flag,observed_bounded_transition_count,ambient_edge_from_42_exists_flag,signature_valley_depth
0,0,2,0,12,12,142,5,0,1,0,0,0,1,41
1,1,2,1,27,27,146,5,1,0,0,0,1287,1,37
2,2,2,2,37,37,132,5,0,1,0,0,0,1,51
3,3,2,3,40,40,132,5,0,1,0,0,0,1,51
4,4,2,4,41,41,167,6,0,1,0,0,0,1,16
5,5,2,5,42,42,183,6,0,1,1,0,0,1,0
