completion_id,completion_class_code,completion_length_after_x2,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,raw_node_0_id,raw_node_1_id,raw_node_2_id,raw_node_3_id,trace_edge_count,trace_detour_overhead,trace_min_signature_after_node42,signature_valley_depth,metric_gromov_delta_twice,preserves_x1_tail_flag,skips_node27_flag,bounded_exact_word_count,bounded_prefix_word_count
0,0,2,4,5,-1,-1,41,44,-1,-1,3,1,167,16,0,0,1,0,0
1,0,2,5,4,-1,-1,42,44,-1,-1,2,0,185,0,0,0,1,0,0
2,1,4,1,2,4,5,42,27,26,28,5,3,118,65,1,1,0,0,0
3,1,4,1,2,5,4,42,27,26,29,5,3,118,65,1,1,0,0,51
4,1,4,1,4,2,5,42,27,28,28,4,2,146,37,2,1,0,0,0
5,1,4,1,4,5,2,42,27,28,34,5,3,146,37,1,1,0,1,101
6,1,4,1,5,2,4,42,27,29,29,4,2,146,37,2,1,0,0,0
7,1,4,1,5,4,2,42,27,29,34,5,3,146,37,1,1,0,0,0
