observable_id,observable_code,value_x1e12,aux_id
0,0,203866000000000000,-1
1,1,2000000000000,-1
2,2,185000000000000,-1
3,3,7712000000000000,-1
4,4,195967000000000000,-1
5,5,139238000000000000,-1
6,6,10792000000000000,-1
7,7,219000000000000,-1
8,8,14000000000000,-1
9,9,37000000000000,-1
10,10,0,-1
11,11,0,-1
12,12,13000000000000,-1
13,13,8000000000000,-1
14,14,4000000000000,-1
15,15,7000000000000,-1
16,16,3000000000000,-1
17,17,8000000000000,-1
18,18,215000000000000,-1
19,19,4000000000000,-1
20,20,8000000000000,-1
