trim_candidate_id,edit_radius,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,closure_excess_abs_from_24,normalized_tail_template_count,template_excess_abs_from_6,template_lift_count_min,template_lift_count_max,four_lift_template_count,all_four_lift_flag,exact24_flag,six_template_flag,exact24_six_template_flag,exact24_six_all_four_flag,all_four_ge24_flag,best_all_four_ge24_flag,best_six_template_gap_flag,tail_entry_3_path_count,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,has_chord_31_28_flag,has_chord_50_34_flag
0,3,12,2,1,3,4,5,1,4,5,2,1,4,5,-1,-1,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,12,12,3,3,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1
1,3,15,2,1,3,4,5,1,4,5,2,5,5,2,1,4,5,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,60,36,9,3,4,8,3,0,0,0,0,0,0,0,0,0,24,4,8,24,0,1
2,3,11,2,1,3,4,1,2,5,2,1,4,5,-1,-1,-1,-1,-1,11,48,42,27,31,28,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,16,8,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0
3,3,12,2,1,3,4,1,2,5,5,2,1,4,5,-1,-1,-1,-1,11,48,42,27,31,28,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,169,92,68,9,3,4,12,1,0,0,0,0,0,0,0,0,0,36,4,16,36,1,0
4,3,14,2,1,3,4,1,2,5,2,5,5,2,1,4,5,-1,-1,12,48,42,27,31,28,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,169,92,68,9,3,4,12,1,0,0,0,0,0,0,0,0,0,36,4,16,36,1,0
5,3,10,2,1,4,3,1,2,5,4,1,5,-1,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,12,12,3,3,4,4,3,1,0,0,0,0,0,0,0,8,0,0,4,0,1,0
6,3,10,2,1,4,3,1,2,5,4,4,5,-1,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,48,24,12,6,4,4,12,1,0,0,0,0,1,0,0,32,0,0,16,0,1,0
7,3,11,2,1,4,3,1,2,5,4,1,1,5,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,24,0,4,2,4,8,2,0,1,0,0,0,0,0,0,0,0,16,8,0,1,0
8,3,11,2,1,4,3,1,2,5,4,1,2,5,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,36,12,6,0,4,8,3,0,0,1,0,0,0,0,0,0,0,24,12,0,1,0
9,3,11,2,1,4,3,1,2,5,4,1,5,5,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,36,12,6,0,4,8,3,0,0,1,0,0,0,0,0,0,0,24,12,0,1,0
10,3,11,2,1,4,3,1,2,5,4,3,4,5,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,72,48,12,6,4,8,6,0,0,0,0,0,0,0,0,0,0,48,24,0,1,0
11,3,11,2,1,4,3,1,2,5,4,4,4,5,-1,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,144,120,24,18,4,8,12,0,0,0,0,0,0,0,0,0,0,96,48,0,1,0
12,3,12,2,1,4,3,1,2,5,4,1,1,4,5,-1,-1,-1,-1,8,48,42,27,28,31,27,29,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,173,36,12,3,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
