stage,wt4_roots,D4_positive_excess,max_sign_moment,gaussian_moment,max_ratio,unit_violation,scale_threshold,self_dual,doubly_even
C0_H8_oplus_3,42,672,64,48,1.3333333333333333,True,0.9306048591020996,True,True
C1_neighbor_1,18,288,64,48,1.3333333333333333,True,0.9306048591020996,True,True
C2_neighbor_2,6,96,64,48,1.3333333333333333,True,0.9306048591020996,True,True
C3_Golay_endpoint,0,0,40,48,0.8333333333333334,False,1.0,True,True
