basis_row_id,binary_weight,binary_mask
0,1,512
1,1,1024
2,1,524288
3,1,1048576
4,1,8388608
5,1,134217728
6,1,268435456
7,1,17179869184
8,1,68719476736
9,1,137438953472
10,1,549755813888
11,1,1099511627776
12,1,4398046511104
13,1,8796093022208
14,1,35184372088832
15,1,70368744177664
16,1,281474976710656
17,1,562949953421312
18,4,2392573809262592
19,1,4503599627370496
20,7,9147971641872384
21,7,18155170896613376
22,8,36169571568263168
