entries,positive_entries_total,zero_entries_total,fit_entries,rmse_log_additive,max_abs_log_residual,r2_log_additive,shell_weight,side,subset_size
134596,134596,0,134596,0.9448708304384322,2.182085713214607,-4.82502926502093e-13,12,split_6_vector,6
2704156,1310540,1393616,0,,,,16,right_split_degree_profile,12
