singularity_id,singularity_code,source_code,control_axis_code,certified_evidence_flag,fold_flag,collapse_flag,feedback_flag,open_boundary_flag,deploy_claim_flag
0,0,2,0,1,1,0,0,1,0
1,1,1,1,1,0,0,1,1,0
2,2,0,2,1,0,1,0,1,0
3,3,0,3,1,1,0,0,1,0
4,4,3,4,1,0,0,1,1,0
5,5,4,5,1,0,0,1,0,0
