control_id,singularity_id,input_count,accept_count,reject_count,compression_num,compression_den,open_reduction_count,control_closed_flag
0,0,1568,56,1512,27,28,0,1
1,1,112869680,0,112869680,0,1,1,1
2,2,4,2,2,0,1,4,0
3,3,4,0,4,0,1,4,0
4,4,2,1,0,1,4,0,1
5,5,256,56,200,27,28,0,1
