shell,blocks,block_size,replication_r,pair_lambda,BtB_top_eigen,BtB_nontrivial_max,chi2_local_eta,target_2_over_w,local_margin
8,759,8,253.0,77.0,2024.0000000000018,176.00000000000065,0.08695652173913075,0.25,0.16304347826086923
12,2576,12,1288.0,616.0,15456.000000000002,672.0000000000009,0.04347826086956528,0.16666666666666666,0.12318840579710139
16,759,16,506.0,330.0,8095.999999999998,176.00000000000034,0.02173913043478265,0.125,0.10326086956521735
24,1,24,1.0,1.0,24.0,2.3407277756720157e-15,0.0,0.08333333333333333,0.08333333333333333
