visible_id,visible_index,atom_id,carrier_count,promotion_row_count,join_count,operation_row_count,semantic_transition_count,operation_backed_visible_flag
0,0,0,5,1,5,0,0,0
1,1,1,6,3,18,0,0,0
2,3,5,4,4,16,0,0,0
3,4,11,4,1,4,0,0,0
4,6,13,3,1,3,0,0,0
5,7,10,5,6,30,0,0,0
6,8,16,5,1,5,0,0,0
7,9,7,5,5,25,0,0,0
8,10,19,3,2,6,0,0,0
9,11,18,4,3,12,0,0,0
10,12,17,4,1,4,0,0,0
11,13,14,5,5,25,0,0,0
12,14,8,5,2,10,0,0,0
13,16,6,5,1,5,0,0,0
14,17,9,5,3,15,0,0,0
15,18,3,4,4,16,0,0,0
16,19,12,5,6,30,0,0,0
