basis_id,source0_addr,source1_addr,target_addr,coeff,raw_tensor_flag,owner_cell_count,graph_degree,weighted_degree
0,118,984,107,1,1,12376,3,223
1,119,880,77,2,1,5280,5,284
2,119,983,107,1,1,103,4,208
3,120,984,108,1,1,3,4,6
4,127,752,33,4,1,2560,4,276
5,127,880,78,1,1,8,4,18
6,127,984,109,1,1,14,3,11
7,130,732,0,4,1,96023,4,864
8,130,982,107,1,1,1122,8,226
9,133,731,0,4,1,2196,4,1467
10,133,732,1,8,1,3,4,8
11,134,751,33,4,1,133,6,52
12,135,982,108,1,1,15,4,16
13,136,752,34,2,1,11,6,22
14,136,880,89,1,1,9,5,20
15,136,982,111,1,1,3,5,8
16,136,984,125,1,1,18,5,13
17,137,751,34,4,1,1,4,4
18,137,752,37,4,1,1,4,4
19,137,772,45,2,1,2760,6,296
20,137,879,77,2,1,774,8,122
21,137,880,95,2,1,1,4,4
22,137,979,107,2,1,693,9,212
23,137,981,111,1,1,2,4,6
24,137,984,137,2,1,2,3,5
25,138,730,0,4,1,3655,3,1467
26,138,732,2,4,1,10,6,14
27,138,750,33,2,1,72,6,44
28,138,751,35,4,1,1,4,4
29,138,752,39,12,1,1,4,4
30,138,770,45,2,1,18,4,38
31,138,772,46,1,1,2,4,6
32,138,836,53,1,1,8896,6,342
33,138,876,77,2,1,40,4,82
34,138,877,78,1,1,1,4,4
35,138,879,79,2,1,2,4,6
36,138,880,105,6,1,1,4,4
37,138,969,107,1,1,89,4,180
38,138,972,109,1,1,3,4,8
39,138,981,113,1,1,9,5,20
40,138,982,114,1,1,2,6,6
41,138,984,138,2,1,2,3,5
42,196,984,195,1,1,6032,8,266
43,201,984,197,1,1,10,4,9
44,203,880,183,1,1,2860,9,218
45,203,983,197,1,1,2,4,6
46,203,984,198,1,1,2,3,4
47,204,880,188,6,1,1,4,4
48,204,984,204,2,1,2,4,5
49,207,984,205,1,1,6,4,7
50,209,879,183,2,1,258,6,98
51,209,983,205,1,1,2,4,6
52,209,984,206,1,1,2,3,4
53,210,752,151,2,1,1440,7,184
54,210,880,189,1,1,6,5,14
55,210,982,195,1,1,1428,12,232
56,210,984,208,1,1,2,4,5
57,211,836,171,1,1,4672,7,274
58,212,984,211,2,1,4,3,6
59,213,772,167,2,1,1500,8,190
60,213,878,183,1,1,168,6,92
61,213,880,193,2,1,3,4,8
62,213,984,213,2,1,2,3,5
63,214,732,139,2,1,55708,5,1542
64,214,750,151,2,1,72,4,44
65,214,752,152,12,1,8,5,12
66,214,770,167,2,1,18,4,38
67,214,772,168,1,1,2,4,6
68,214,834,171,1,1,186,5,130
69,214,836,172,1,1,6,5,10
70,214,877,183,1,1,41,4,84
71,214,878,184,2,1,1,4,4
72,214,879,186,2,1,5,7,12
73,214,880,194,6,1,1,4,4
74,214,972,195,1,1,368,5,192
75,214,982,199,1,1,40,6,28
76,214,984,214,2,1,2,3,5
77,284,772,227,32,1,1400,6,180
78,287,772,228,16,1,3,4,8
79,288,984,271,1,1,7696,7,282
80,289,771,227,32,1,95,7,48
81,289,772,229,16,1,2,4,6
82,289,984,274,1,1,5,5,11
83,290,732,215,2,1,55708,3,1542
84,290,752,223,1,1,1520,7,192
85,290,762,227,32,1,10,4,22
86,290,770,228,16,1,8,4,18
87,290,772,233,2,1,2,5,6
88,290,836,241,2,1,4864,8,280
89,290,880,263,1,1,3344,8,240
90,290,975,271,1,1,190,4,194
91,290,979,272,2,1,8,5,12
92,290,981,276,2,1,2,4,6
93,290,983,279,1,1,2,4,6
94,290,984,287,1,1,1,3,3
95,490,984,467,2,1,20800,8,408
96,492,983,467,1,1,206,4,210
97,493,982,467,2,1,102,4,206
98,498,984,470,1,1,19,6,14
99,501,984,474,1,1,6,3,7
100,505,984,480,1,1,8,4,8
101,506,983,485,1,1,1,3,4
102,510,752,315,1,1,4400,5,480
103,510,880,435,1,1,9680,8,528
104,510,984,487,1,1,9,4,9
105,511,982,472,1,1,13,8,28
106,518,984,511,1,1,16,4,12
107,523,772,327,2,1,4660,8,506
108,525,836,349,8,1,15040,7,598
109,525,982,480,1,1,14,5,30
110,526,984,512,1,1,16,4,12
111,527,832,349,8,1,120,5,124
112,527,982,487,1,1,2,5,6
113,528,772,328,2,1,10,6,14
114,528,982,497,1,1,1,4,4
115,528,984,513,1,1,4,5,6
116,529,751,315,1,1,361,6,76
117,529,752,316,1,1,19,5,40
118,529,772,333,4,1,2,5,6
119,529,823,349,8,1,102,6,106
120,529,826,350,8,1,6,3,10
121,529,879,435,1,1,817,6,124
122,529,880,459,1,1,19,4,40
123,529,981,467,1,1,3636,13,274
124,529,983,516,1,1,2,6,6
125,529,984,522,1,1,1,3,3
126,530,732,291,1,1,175920,5,1706
127,530,747,315,1,1,15,4,32
128,530,748,316,1,1,1,4,4
129,530,751,317,1,1,3,4,8
130,530,752,319,1,1,1,4,4
131,530,770,327,2,1,126,7,50
132,530,771,335,4,1,1,4,4
133,530,772,336,4,1,1,4,4
134,530,815,349,8,1,43,4,88
135,530,836,351,2,1,49,8,52
136,530,872,435,2,1,36,4,74
137,530,879,437,1,1,7,4,16
138,530,880,460,1,1,1,4,4
139,530,954,467,2,1,74,4,150
140,530,958,469,2,1,4,4,10
141,530,979,472,1,1,21,4,44
142,530,981,474,1,1,2,4,6
143,530,982,516,2,1,1,4,4
144,530,983,519,1,1,1,4,4
145,530,984,523,1,1,1,3,3
146,693,752,561,4,1,3260,8,366
147,694,836,581,1,1,10496,7,456
148,696,732,531,2,1,121678,5,1632
149,696,752,562,2,1,3,4,8
150,697,836,583,1,1,3,4,8
151,697,984,657,1,1,17368,10,375
152,698,727,531,2,1,1456,3,1458
153,698,752,563,2,1,2,4,6
154,698,836,584,2,1,1,4,4
155,698,880,613,1,1,7392,12,424
156,698,983,657,1,1,103,7,208
157,699,752,566,6,1,1,4,4
158,699,772,573,1,1,3380,11,378
159,699,834,581,1,1,310,7,134
160,699,835,582,1,1,5,6,12
161,699,836,592,1,1,1,4,4
162,699,876,613,1,1,40,6,82
163,699,878,614,2,1,2,4,6
164,699,879,616,2,1,1,3,4
165,699,970,657,1,1,90,5,182
166,699,979,658,1,1,9,4,20
167,699,981,661,1,1,2,4,6
168,699,982,668,1,1,1,3,4
169,700,726,531,2,1,1454,3,1456
170,700,732,532,1,1,22,5,20
171,700,751,561,2,1,133,8,52
172,700,752,572,6,1,1,4,4
173,700,771,573,1,1,19,4,40
174,700,772,575,1,1,1,4,4
175,700,825,581,1,1,53,4,108
176,700,826,582,1,1,1,4,4
177,700,832,583,1,1,6,4,14
178,700,835,588,1,1,3,5,8
179,700,836,605,1,1,1,4,4
180,700,872,613,1,1,36,4,74
181,700,875,614,2,1,3,4,8
182,700,878,616,2,1,3,5,8
183,700,880,618,6,1,3,6,8
184,700,967,657,1,1,87,4,176
185,700,970,661,1,1,3,4,8
186,700,984,672,1,1,17,7,31
187,958,836,773,1,1,16512,9,644
188,969,880,837,1,1,11836,10,626
189,969,984,881,1,1,27976,6,477
190,970,732,701,1,1,197910,5,1736
191,970,880,840,1,1,1,4,4
192,971,836,775,1,1,13,5,28
193,972,752,733,1,1,5440,8,584
194,972,836,777,2,1,1,4,4
195,972,878,837,1,1,126,5,90
196,972,982,881,1,1,306,6,210
197,974,836,793,1,1,2,4,6
198,977,835,773,1,1,1197,9,164
199,978,772,753,2,1,5560,9,596
200,978,831,773,1,1,59,4,120
201,979,732,702,2,1,9,5,20
202,979,750,733,1,1,126,4,50
203,979,767,753,4,1,15,6,32
204,979,772,754,1,1,5,4,12
205,979,833,774,1,1,7,6,14
206,979,835,775,2,1,4,4,8
207,979,879,838,1,1,38,7,30
208,980,982,882,1,1,184,4,62
209,981,732,704,1,1,2,4,6
210,981,830,774,1,1,4,4,8
211,981,874,837,1,1,342,7,94
212,982,731,701,1,1,8784,6,1476
213,982,745,733,1,1,39,6,32
214,982,751,735,1,1,25,7,32
215,982,752,738,1,1,10,6,22
216,982,772,759,2,1,42,6,34
217,982,828,773,1,1,224,8,120
218,982,835,780,1,1,15,7,16
219,982,836,794,1,1,8,7,18
220,982,876,839,1,1,14,6,26
221,982,959,881,1,1,790,9,178
222,982,980,882,1,1,42,3,46
223,983,730,703,1,1,16,6,34
224,983,732,707,1,1,3,6,8
225,983,757,753,1,1,20,5,18
226,983,828,774,1,1,4,3,10
227,983,836,810,1,1,2,6,6
228,983,866,838,1,1,2,4,6
229,984,714,701,1,1,1430,3,717
230,984,726,703,1,1,12,3,14
231,984,729,707,1,1,3,3,5
232,984,730,708,1,1,1,3,3
233,984,732,715,1,1,2,3,4
234,984,742,733,1,1,20,4,14
235,984,745,734,1,1,6,3,7
236,984,748,735,2,1,6,3,7
237,984,750,737,1,1,4,3,6
238,984,751,738,2,1,2,3,5
239,984,752,752,2,1,2,4,5
240,984,756,753,2,1,4,3,6
241,984,758,754,1,1,6,5,12
242,984,770,759,1,1,24,3,16
243,984,772,761,1,1,4,3,6
244,984,824,773,1,1,104,4,56
245,984,830,776,2,1,10,6,12
246,984,834,809,1,1,8,4,8
247,984,835,813,2,1,1,3,3
248,984,836,817,1,1,1,3,3
249,984,865,837,1,1,87,6,35
250,984,875,839,1,1,19,4,14
251,984,876,840,1,1,2,3,5
252,984,878,842,1,1,10,4,12
253,984,880,845,1,1,19,6,30
254,984,924,881,1,1,88,3,48
255,984,926,883,1,1,4,3,6
256,984,948,886,1,1,44,3,26
257,984,958,888,1,1,20,3,14
258,984,984,893,2,1,82,6,41
