contact_id,edge_id,left_basis_id,right_basis_id,source0_boundary_count,source1_boundary_count,boundary_count,source0_sample_x,source0_sample_y,source0_sample_owner_a,source0_sample_owner_b,source1_sample_x,source1_sample_y,source1_sample_owner_a,source1_sample_owner_b,left_endpoint_raw_flag,right_endpoint_raw_flag,source0_count_verified_flag,source1_count_verified_flag,boundary_count_verified_flag,contact_lift_flag
0,0,0,1,0,119,119,-1,-1,-1,-1,0,880,1,0,1,1,1,1,1,1
1,1,0,2,103,0,103,118,881,0,2,-1,-1,-1,-1,1,1,1,1,1,1
2,2,0,3,1,0,1,118,984,0,3,-1,-1,-1,-1,1,1,1,1,1,1
3,3,1,2,0,1,1,-1,-1,-1,-1,119,880,1,2,1,1,1,1,1,1
4,4,1,5,1,0,1,119,880,1,5,-1,-1,-1,-1,1,1,1,1,1,1
5,5,1,20,43,0,43,119,837,1,20,-1,-1,-1,-1,1,1,1,1,1,1
6,6,1,32,0,120,120,-1,-1,-1,-1,0,836,32,1,1,1,1,1,1,1
7,7,2,3,1,1,2,119,983,2,3,119,983,2,3,1,1,1,1,1,1
8,8,2,8,102,0,102,119,881,2,8,-1,-1,-1,-1,1,1,1,1,1,1
9,9,3,6,2,0,2,120,983,3,6,-1,-1,-1,-1,1,1,1,1,1,1
10,10,3,8,0,1,1,-1,-1,-1,-1,120,982,8,3,1,1,1,1,1,1
11,11,4,7,0,128,128,-1,-1,-1,-1,0,732,7,4,1,1,1,1,1,1
12,12,4,11,19,0,19,127,733,4,11,-1,-1,-1,-1,1,1,1,1,1,1
13,13,4,13,1,0,1,127,752,4,13,-1,-1,-1,-1,1,1,1,1,1,1
14,14,4,19,0,128,128,-1,-1,-1,-1,0,752,4,19,1,1,1,1,1,1
15,15,5,8,0,8,8,-1,-1,-1,-1,120,880,5,8,1,1,1,1,1,1
16,16,5,14,1,0,1,127,880,5,14,-1,-1,-1,-1,1,1,1,1,1,1
17,17,5,20,0,8,8,-1,-1,-1,-1,120,879,20,5,1,1,1,1,1,1
18,18,6,8,0,7,7,-1,-1,-1,-1,121,982,8,6,1,1,1,1,1,1
19,19,6,16,2,0,2,127,983,6,16,-1,-1,-1,-1,1,1,1,1,1,1
20,20,7,9,732,0,732,130,0,7,9,-1,-1,-1,-1,1,1,1,1,1,1
21,21,7,10,1,0,1,130,732,7,10,-1,-1,-1,-1,1,1,1,1,1,1
22,22,7,11,0,3,3,-1,-1,-1,-1,128,732,7,11,1,1,1,1,1,1
23,23,8,12,3,0,3,130,980,8,12,-1,-1,-1,-1,1,1,1,1,1,1
24,24,8,14,0,3,3,-1,-1,-1,-1,128,880,14,8,1,1,1,1,1,1
25,25,8,16,0,3,3,-1,-1,-1,-1,128,982,8,16,1,1,1,1,1,1
26,26,8,22,99,0,99,130,881,8,22,-1,-1,-1,-1,1,1,1,1,1,1
27,27,9,10,0,3,3,-1,-1,-1,-1,131,731,9,10,1,1,1,1,1,1
28,28,9,25,731,0,731,133,0,9,25,-1,-1,-1,-1,1,1,1,1,1,1
29,29,9,26,1,0,1,133,731,9,26,-1,-1,-1,-1,1,1,1,1,1,1
30,30,10,11,0,3,3,-1,-1,-1,-1,131,732,10,11,1,1,1,1,1,1
31,31,10,26,1,0,1,133,732,10,26,-1,-1,-1,-1,1,1,1,1,1,1
32,32,11,13,1,7,8,134,751,11,13,128,751,11,13,1,1,1,1,1,1
33,33,11,26,0,1,1,-1,-1,-1,-1,134,732,26,11,1,1,1,1,1,1
34,34,11,27,18,0,18,134,733,11,27,-1,-1,-1,-1,1,1,1,1,1,1
35,35,12,15,3,0,3,135,980,12,15,-1,-1,-1,-1,1,1,1,1,1,1
36,36,12,16,0,5,5,-1,-1,-1,-1,131,982,12,16,1,1,1,1,1,1
37,37,12,22,0,5,5,-1,-1,-1,-1,131,979,22,12,1,1,1,1,1,1
38,38,13,17,1,0,1,136,751,13,17,-1,-1,-1,-1,1,1,1,1,1,1
39,39,13,18,1,0,1,136,752,13,18,-1,-1,-1,-1,1,1,1,1,1,1
40,40,13,19,0,9,9,-1,-1,-1,-1,128,752,13,19,1,1,1,1,1,1
41,41,13,27,0,2,2,-1,-1,-1,-1,135,750,27,13,1,1,1,1,1,1
42,42,14,20,0,9,9,-1,-1,-1,-1,128,879,20,14,1,1,1,1,1,1
43,43,14,21,1,0,1,136,880,14,21,-1,-1,-1,-1,1,1,1,1,1,1
44,44,14,22,0,6,6,-1,-1,-1,-1,131,880,14,22,1,1,1,1,1,1
45,45,15,16,0,1,1,-1,-1,-1,-1,136,982,15,16,1,1,1,1,1,1
46,46,15,22,0,1,1,-1,-1,-1,-1,136,979,22,15,1,1,1,1,1,1
47,47,15,23,2,0,2,136,980,15,23,-1,-1,-1,-1,1,1,1,1,1,1
48,48,15,40,1,0,1,136,982,15,40,-1,-1,-1,-1,1,1,1,1,1,1
49,49,16,24,2,0,2,136,983,16,24,-1,-1,-1,-1,1,1,1,1,1,1
50,50,17,18,0,1,1,-1,-1,-1,-1,137,751,17,18,1,1,1,1,1,1
51,51,17,27,0,1,1,-1,-1,-1,-1,137,750,27,17,1,1,1,1,1,1
52,52,17,28,1,0,1,137,751,17,28,-1,-1,-1,-1,1,1,1,1,1,1
53,53,18,19,0,1,1,-1,-1,-1,-1,137,752,18,19,1,1,1,1,1,1
54,54,18,29,1,0,1,137,752,18,29,-1,-1,-1,-1,1,1,1,1,1,1
55,55,19,30,18,0,18,137,753,19,30,-1,-1,-1,-1,1,1,1,1,1,1
56,56,19,31,2,0,2,137,771,19,31,-1,-1,-1,-1,1,1,1,1,1,1
57,57,19,32,0,138,138,-1,-1,-1,-1,0,772,19,32,1,1,1,1,1,1
58,58,20,21,0,1,1,-1,-1,-1,-1,137,879,20,21,1,1,1,1,1,1
59,59,20,32,0,18,18,-1,-1,-1,-1,120,836,32,20,1,1,1,1,1,1
60,60,20,33,40,0,40,137,837,20,33,-1,-1,-1,-1,1,1,1,1,1,1
61,61,20,34,1,0,1,137,877,20,34,-1,-1,-1,-1,1,1,1,1,1,1
62,62,20,35,2,0,2,137,878,20,35,-1,-1,-1,-1,1,1,1,1,1,1
63,63,21,22,0,1,1,-1,-1,-1,-1,137,880,21,22,1,1,1,1,1,1
64,64,21,36,1,0,1,137,880,21,36,-1,-1,-1,-1,1,1,1,1,1,1
65,65,22,23,0,1,1,-1,-1,-1,-1,137,979,22,23,1,1,1,1,1,1
66,66,22,37,89,0,89,137,881,22,37,-1,-1,-1,-1,1,1,1,1,1,1
67,67,22,38,3,0,3,137,970,22,38,-1,-1,-1,-1,1,1,1,1,1,1
68,68,22,39,7,0,7,137,973,22,39,-1,-1,-1,-1,1,1,1,1,1,1
69,69,23,39,2,0,2,137,980,23,39,-1,-1,-1,-1,1,1,1,1,1,1
70,70,23,40,0,1,1,-1,-1,-1,-1,137,981,23,40,1,1,1,1,1,1
71,71,24,40,0,1,1,-1,-1,-1,-1,137,982,40,24,1,1,1,1,1,1
72,72,24,41,2,0,2,137,983,24,41,-1,-1,-1,-1,1,1,1,1,1,1
73,73,25,26,0,5,5,-1,-1,-1,-1,134,730,25,26,1,1,1,1,1,1
74,74,25,63,731,0,731,138,0,25,63,-1,-1,-1,-1,1,1,1,1,1,1
75,75,26,27,0,4,4,-1,-1,-1,-1,135,732,26,27,1,1,1,1,1,1
76,76,26,63,2,0,2,138,731,26,63,-1,-1,-1,-1,1,1,1,1,1,1
77,77,27,28,0,1,1,-1,-1,-1,-1,138,750,27,28,1,1,1,1,1,1
78,78,27,53,18,0,18,138,733,27,53,-1,-1,-1,-1,1,1,1,1,1,1
79,79,28,29,0,1,1,-1,-1,-1,-1,138,751,28,29,1,1,1,1,1,1
80,80,28,53,1,0,1,138,751,28,53,-1,-1,-1,-1,1,1,1,1,1,1
81,81,29,30,0,1,1,-1,-1,-1,-1,138,752,29,30,1,1,1,1,1,1
82,82,29,53,1,0,1,138,752,29,53,-1,-1,-1,-1,1,1,1,1,1,1
83,83,30,31,0,1,1,-1,-1,-1,-1,138,770,30,31,1,1,1,1,1,1
84,84,30,59,18,0,18,138,753,30,59,-1,-1,-1,-1,1,1,1,1,1,1
85,85,31,32,0,1,1,-1,-1,-1,-1,138,772,31,32,1,1,1,1,1,1
86,86,31,59,2,0,2,138,771,31,59,-1,-1,-1,-1,1,1,1,1,1,1
87,87,32,33,0,1,1,-1,-1,-1,-1,138,836,32,33,1,1,1,1,1,1
88,88,32,57,64,0,64,138,773,32,57,-1,-1,-1,-1,1,1,1,1,1,1
89,89,33,34,0,1,1,-1,-1,-1,-1,138,876,33,34,1,1,1,1,1,1
90,90,33,44,40,0,40,138,837,33,44,-1,-1,-1,-1,1,1,1,1,1,1
91,91,34,35,0,1,1,-1,-1,-1,-1,138,877,34,35,1,1,1,1,1,1
92,92,34,44,1,0,1,138,877,34,44,-1,-1,-1,-1,1,1,1,1,1,1
93,93,35,36,0,1,1,-1,-1,-1,-1,138,879,35,36,1,1,1,1,1,1
