generator_id,mask,weight,euler_bit,punctured_mask,punctured_weight,quadratic_value,self_dot_mod2
0,4095,12,1,2047,11,0,0
1,14040,8,0,7020,8,0,0
2,21655,8,1,10827,7,0,0
3,37830,8,0,18915,8,0,0
4,70429,8,1,35214,7,0,0
5,135851,8,1,67925,7,0,0
6,266366,8,0,133183,8,0,0
7,530021,8,1,265010,7,0,0
8,1054124,8,0,527062,8,0,0
9,2101745,8,1,1050872,7,0,0
10,4200242,8,0,2100121,8,0,0
11,8394059,8,1,4197029,7,0,0
