candidate_id,trace_window_rank,left_symbol_id,middle_symbol_id,right_symbol_id,canonical_triple_id,sector_coverage_count,signature_union_count,collapsed_trace_rank,first_node44_stop_flag,duplicate_of_previous_flag
0,0,5,3,2,42,6,183,1,0,0
0,1,3,2,5,42,6,183,1,0,1
0,2,2,5,4,44,6,185,2,1,0
1,0,5,3,2,42,6,183,1,0,0
1,1,3,2,5,42,6,183,1,0,1
1,2,2,5,4,44,6,185,2,1,0
2,0,5,3,2,42,6,183,1,0,0
2,1,3,2,5,42,6,183,1,0,1
2,2,2,5,4,44,6,185,2,1,0
3,0,5,3,2,42,6,183,1,0,0
3,1,3,2,5,42,6,183,1,0,1
3,2,2,5,4,44,6,185,2,1,0
4,0,5,3,2,42,6,183,1,0,0
4,1,3,2,5,42,6,183,1,0,1
4,2,2,5,4,44,6,185,2,1,0
5,0,5,3,2,42,6,183,1,0,0
5,1,3,2,5,42,6,183,1,0,1
5,2,2,5,4,44,6,185,2,1,0
6,0,5,3,2,42,6,183,1,0,0
6,1,3,2,1,27,5,146,2,0,0
6,2,2,1,4,28,6,169,3,0,0
6,3,1,4,5,34,6,177,4,0,0
6,4,4,5,2,44,6,185,5,1,0
7,0,5,3,2,42,6,183,1,0,0
7,1,3,2,1,27,5,146,2,0,0
7,2,2,1,4,28,6,169,3,0,0
7,3,1,4,5,34,6,177,4,0,0
7,4,4,5,2,44,6,185,5,1,0
8,0,5,3,2,42,6,183,1,0,0
8,1,3,2,0,12,5,142,2,0,0
8,2,2,0,4,13,6,165,3,0,0
8,3,0,4,5,19,6,173,4,0,0
8,4,4,5,2,44,6,185,5,1,0
9,0,5,3,2,42,6,183,1,0,0
9,1,3,2,0,12,5,142,2,0,0
9,2,2,0,4,13,6,165,3,0,0
9,3,0,4,5,19,6,173,4,0,0
9,4,4,5,2,44,6,185,5,1,0
