shell,direction,t,F,ratio,max_schur_excess,max_pair_i,max_pair_j,near_barrier,below_barrier,schur_violation,danger_schur_violation
12,prefix_1,0.0,0.0,1.0,0.0,0,1,True,False,False,False
12,prefix_1,0.1,-0.004021909466326967,0.9959861675795401,0.0,1,2,False,True,False,False
12,prefix_1,0.2,-0.017511040757969276,0.9826413864994629,0.0,1,2,False,True,False,False
12,prefix_1,0.30000000000000004,-0.04288610302876528,0.9580204994865688,0.0,1,2,False,True,False,False
12,prefix_1,0.4,-0.08297152507446892,0.920377354523628,0.0,1,2,False,True,False,False
12,prefix_1,0.5,-0.1410238102051924,0.8684686330351316,0.0,1,2,False,True,False,False
12,prefix_1,0.6000000000000001,-0.2207423800803303,0.8019232450834298,0.0,1,2,False,True,False,False
12,prefix_1,0.7000000000000001,-0.3262568399616841,0.7216198228205712,0.0,1,2,False,True,False,False
12,prefix_1,0.8,-0.4620815843096757,0.629970942100885,0.0,1,2,False,True,False,False
12,prefix_1,0.9,-0.6330288252604586,0.5309811139826082,0.0,1,2,False,True,False,False
12,prefix_1,1.0,-0.8440732327802856,0.42995564241918316,0.0,1,2,False,True,False,False
12,prefix_1,1.25,-1.578912544064269,0.20619920888119636,0.0,1,2,False,True,False,False
12,prefix_1,1.5,-2.6596705463494903,0.06997127023815249,0.0,1,2,False,True,False,False
12,prefix_1,1.75,-4.117545940368153,0.016284428404671637,0.0,1,2,False,True,False,False
12,prefix_1,2.0,-5.936939939179785,0.0026400961575316403,0.0,1,2,False,True,False,False
12,prefix_1,2.25,-8.062975731265901,0.00031498808940509703,0.0,1,2,False,True,False,False
12,prefix_1,2.5,-10.423188928421485,2.973490563268488e-05,0.0,1,2,False,True,False,False
12,prefix_1,2.75,-12.948155509475189,2.3806059318375463e-06,0.0,1,2,False,True,False,False
12,prefix_1,3.0,-15.582327651195591,1.708760065774732e-07,0.0,1,2,False,True,False,False
12,prefix_1,3.25,-18.285957893760347,1.1442196201543318e-08,0.0,1,2,False,True,False,False
12,prefix_1,3.5,-21.032539531656358,7.339798561291522e-10,0.0,1,2,False,True,False,False
12,prefix_1,3.75,-23.805165325548597,4.5872040424210356e-11,0.0,1,2,False,True,False,False
12,prefix_1,4.0,-26.593352838846418,2.8226277493551206e-12,0.0,1,2,False,True,False,False
12,prefix_1,4.25,-29.390723219790015,1.7209612295820803e-13,0.0,1,2,False,True,False,False
12,prefix_1,4.5,-32.19344541952105,1.043672645557307e-14,0.0,1,2,False,True,False,False
