shell,grid_rows,schur_violations,danger_schur_violations,max_schur_excess,max_schur_excess_near_barrier,max_F_among_schur_violations,max_ratio_among_schur_violations,first_violation_direction,first_violation_t
12,5720,3700,0,20.356681525140264,0.0,-0.6658913769752139,0.5138153203731448,random_0,1.75
16,5720,3654,0,20.55965752351486,-0.0,-1.1630302795839933,0.31253766796429583,prefix_16,5.75
