atom_id,stationary_participation_mass_x1e12,signature_flow_participation_mass_x1e12,stationary_to_flow_delta_x1e12,stationary_rank,signature_flow_rank,carrier_signature_count
1,152593594841,122547227544,30046367297,4,4,69
4,145931696939,120636709586,25294987353,5,5,70
7,211995142061,200239620955,11755521106,2,3,97
11,109575931056,113928211847,-4352280791,6,6,53
12,164417194978,224011037260,-59593842282,3,1,58
19,215486440125,218637192808,-3150752683,1,2,97
