transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_carrier_atom_mask,target_carrier_atom_mask,source_signature_flow_mass_x1e12,target_signature_flow_mass_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,undirected_stationary_flux_x1e12
0,0,1,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
1,0,2,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
2,0,3,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
3,0,4,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
4,0,5,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
5,0,6,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
6,0,7,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
7,0,8,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
8,0,9,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
9,0,10,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
10,0,11,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
11,0,12,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
12,0,13,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
13,0,14,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
14,0,15,1,146,2,5182662234,1121028888,919809723,13681623141,11638684
15,0,16,1,146,2,5182662234,1121028888,919809723,13681623141,11638684
16,0,17,1,146,2,5182662234,1121028888,919809723,13681623141,11638684
17,0,18,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
18,0,19,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
19,0,20,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
20,0,21,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
21,0,22,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
22,0,23,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
23,0,24,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
24,0,25,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
25,0,26,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
26,0,27,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
27,0,28,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
28,0,29,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
29,0,30,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
30,0,31,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
31,0,32,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
32,0,33,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
33,0,34,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
34,0,35,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
35,0,36,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
36,0,37,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
37,0,38,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
38,0,45,1,146,2,5182662234,1121028888,919809723,13681623141,11638684
39,0,46,1,146,2,5182662234,1121028888,919809723,13681623141,11638684
40,0,47,1,146,2,5182662234,1121028888,919809723,13681623141,11638684
41,0,48,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
42,0,49,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
43,0,50,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
44,0,51,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
45,0,52,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
