transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_carrier_atom_mask,target_carrier_atom_mask,source_signature_flow_mass_x1e12,target_signature_flow_mass_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,undirected_stationary_flux_x1e12
46,0,53,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
47,0,54,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
48,0,55,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
49,0,56,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
50,0,57,1,146,6146,5182662234,7959993994,6531214266,4872975287,82641807
51,0,61,1,146,2,5182662234,1121028888,919809722,13681623141,11638684
52,0,62,1,146,2,5182662234,1121028888,919809722,13681623141,11638684
53,0,72,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
54,0,73,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
55,0,74,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
56,0,78,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
57,0,79,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
58,0,80,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
59,0,81,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
60,0,82,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
61,0,83,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
62,0,84,1,146,6160,5182662234,8055832391,6609850142,4955307062,83636815
63,0,85,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
64,0,86,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
65,0,87,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
66,0,88,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
67,0,93,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
68,0,94,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
69,0,95,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
70,0,96,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
71,0,97,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
72,0,98,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
73,0,99,3,146,146,5182662234,5182662233,12757199642,12757199645,161421442
74,0,100,1,146,2,5182662234,1121028888,919809722,13681623141,11638684
75,0,101,1,146,2,5182662234,1121028888,919809722,13681623141,11638684
76,0,102,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
77,0,103,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
78,0,104,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
79,0,105,1,146,16,5182662234,1216867285,998445599,14343470743,12633692
80,0,106,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
81,0,107,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
82,0,108,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
83,0,109,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
84,0,110,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
85,0,111,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
86,0,112,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
87,0,113,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
88,0,114,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
89,0,115,3,146,524434,5182662234,6940911420,17085155988,9173280104,216184633
90,0,116,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
91,0,117,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
92,0,118,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
93,0,119,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
94,0,120,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
95,0,121,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
96,0,122,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
97,0,123,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
98,0,124,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
99,0,125,3,146,524434,5182662234,6940911419,17085155985,9173280104,216184633
100,0,126,1,146,524416,5182662234,4603015247,3776796675,5337389266,47789169
101,0,127,1,146,524416,5182662234,4603015246,3776796674,5337389266,47789169
102,0,128,1,146,524416,5182662234,4603015246,3776796674,5337389266,47789169
103,0,129,1,146,524416,5182662234,4603015246,3776796674,5337389266,47789169
104,0,134,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
105,0,135,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
106,0,136,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
107,0,137,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
108,0,138,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
109,0,139,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
110,0,140,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
111,0,141,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
112,0,142,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
113,0,143,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
114,0,144,1,146,128,5182662234,2844766060,2334144559,10598558763,29534772
115,0,151,1,146,524416,5182662234,4603015246,3776796674,5337389266,47789169
116,0,152,1,146,524416,5182662234,4603015245,3776796673,5337389266,47789169
117,0,153,1,146,524416,5182662234,4603015245,3776796673,5337389266,47789169
118,0,154,1,146,524416,5182662234,4603015245,3776796673,5337389266,47789169
119,0,155,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
120,0,156,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
121,0,157,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
122,0,158,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
123,0,159,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
124,0,160,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
125,0,161,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
126,0,162,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
127,0,163,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
128,0,164,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
129,0,165,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
130,0,166,1,146,526464,5182662234,5739846884,4709572630,4123103087,59591919
131,0,167,1,146,526464,5182662234,5739846883,4709572630,4123103087,59591919
132,0,168,1,146,526464,5182662234,5739846883,4709572630,4123103087,59591919
133,0,169,1,146,526464,5182662234,5739846883,4709572630,4123103087,59591919
134,0,170,1,146,526464,5182662234,5739846883,4709572630,4123103087,59591919
135,0,171,1,146,526464,5182662234,5739846883,4709572630,4123103087,59591919
136,0,172,1,146,526464,5182662234,5739846883,4709572630,4123103087,59591919
137,1,2,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
138,1,3,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
139,1,4,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
140,1,5,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
141,1,6,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
142,1,7,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
143,1,8,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
144,1,9,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
145,1,10,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
146,1,11,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
147,1,12,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
148,1,13,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
149,1,14,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
150,1,15,1,146,2,5182662233,1121028888,919809723,13681623139,11638684
151,1,16,1,146,2,5182662233,1121028888,919809723,13681623139,11638684
152,1,17,1,146,2,5182662233,1121028888,919809723,13681623139,11638684
153,1,18,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
154,1,19,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
155,1,20,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
156,1,21,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
157,1,22,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
158,1,23,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
159,1,24,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
160,1,25,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
161,1,26,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
162,1,27,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
163,1,28,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
164,1,29,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
165,1,30,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
166,1,31,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
167,1,32,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
168,1,33,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
169,1,34,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
170,1,35,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
171,1,36,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
172,1,37,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
173,1,38,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
174,1,45,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
175,1,46,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
176,1,47,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
177,1,48,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
178,1,49,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
179,1,50,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
180,1,51,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
181,1,52,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
182,1,53,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
183,1,54,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
184,1,55,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
185,1,56,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
186,1,57,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
187,1,61,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
188,1,62,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
189,1,72,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
190,1,73,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
191,1,74,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
192,1,78,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
193,1,79,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
194,1,80,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
195,1,81,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
196,1,82,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
197,1,83,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
198,1,84,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
199,1,85,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
200,1,86,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
201,1,87,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
202,1,88,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
203,1,93,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
204,1,94,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
205,1,95,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
206,1,96,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
207,1,97,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
208,1,98,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
209,1,99,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
210,1,100,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
211,1,101,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
212,1,102,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
213,1,103,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
214,1,104,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
215,1,105,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
216,1,106,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
217,1,107,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
218,1,108,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
219,1,109,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
220,1,110,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
221,1,111,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
222,1,112,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
223,1,113,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
224,1,114,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
225,1,115,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
226,1,116,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184633
227,1,117,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184633
228,1,118,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
229,1,119,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
230,1,120,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
231,1,121,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
232,1,122,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
233,1,123,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
234,1,124,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
235,1,125,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
236,1,126,1,146,524416,5182662233,4603015247,3776796675,5337389265,47789169
237,1,127,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
238,1,128,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
239,1,129,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
240,1,134,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
241,1,135,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
242,1,136,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
243,1,137,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
244,1,138,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
245,1,139,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
246,1,140,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
247,1,141,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
248,1,142,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
249,1,143,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
250,1,144,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
251,1,151,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
252,1,152,1,146,524416,5182662233,4603015245,3776796673,5337389265,47789169
253,1,153,1,146,524416,5182662233,4603015245,3776796673,5337389265,47789169
254,1,154,1,146,524416,5182662233,4603015245,3776796673,5337389265,47789169
255,1,155,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
256,1,156,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
257,1,157,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
258,1,158,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
259,1,159,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
260,1,160,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
261,1,161,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
262,1,162,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
263,1,163,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
264,1,164,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
265,1,165,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
266,1,166,1,146,526464,5182662233,5739846884,4709572630,4123103087,59591919
267,1,167,1,146,526464,5182662233,5739846883,4709572630,4123103087,59591919
268,1,168,1,146,526464,5182662233,5739846883,4709572630,4123103087,59591919
269,1,169,1,146,526464,5182662233,5739846883,4709572630,4123103087,59591919
270,1,170,1,146,526464,5182662233,5739846883,4709572630,4123103087,59591919
271,1,171,1,146,526464,5182662233,5739846883,4709572630,4123103087,59591919
272,1,172,1,146,526464,5182662233,5739846883,4709572630,4123103087,59591919
273,2,3,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
274,2,4,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
275,2,5,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
276,2,6,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
277,2,7,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
278,2,8,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
279,2,9,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
280,2,10,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
281,2,11,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
282,2,12,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
283,2,13,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
284,2,14,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
285,2,15,1,146,2,5182662233,1121028888,919809723,13681623139,11638684
286,2,16,1,146,2,5182662233,1121028888,919809723,13681623139,11638684
287,2,17,1,146,2,5182662233,1121028888,919809723,13681623139,11638684
288,2,18,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
289,2,19,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
290,2,20,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
291,2,21,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
292,2,22,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
293,2,23,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
294,2,24,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
295,2,25,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
296,2,26,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
297,2,27,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
298,2,28,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
299,2,29,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
300,2,30,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
301,2,31,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
302,2,32,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
303,2,33,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
304,2,34,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
305,2,35,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
306,2,36,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
307,2,37,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
308,2,38,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
309,2,45,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
310,2,46,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
311,2,47,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
312,2,48,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
313,2,49,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
314,2,50,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
315,2,51,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
316,2,52,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
317,2,53,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
318,2,54,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
319,2,55,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
320,2,56,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
321,2,57,1,146,6146,5182662233,7959993994,6531214266,4872975286,82641807
322,2,61,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
323,2,62,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
324,2,72,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
325,2,73,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
326,2,74,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
327,2,78,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
328,2,79,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
329,2,80,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
330,2,81,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
331,2,82,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
332,2,83,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
333,2,84,1,146,6160,5182662233,8055832391,6609850142,4955307061,83636815
334,2,85,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
335,2,86,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
336,2,87,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
337,2,88,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
338,2,93,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
339,2,94,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
340,2,95,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
341,2,96,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
342,2,97,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
343,2,98,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
344,2,99,3,146,146,5182662233,5182662233,12757199642,12757199642,161421442
345,2,100,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
346,2,101,1,146,2,5182662233,1121028888,919809722,13681623139,11638684
347,2,102,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
348,2,103,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
349,2,104,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
350,2,105,1,146,16,5182662233,1216867285,998445599,14343470740,12633692
351,2,106,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
352,2,107,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
353,2,108,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
354,2,109,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
355,2,110,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
356,2,111,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
357,2,112,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
358,2,113,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
359,2,114,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
360,2,115,3,146,524434,5182662233,6940911420,17085155988,9173280102,216184633
361,2,116,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
362,2,117,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
363,2,118,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
364,2,119,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
365,2,120,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
366,2,121,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
367,2,122,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
368,2,123,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
369,2,124,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
370,2,125,3,146,524434,5182662233,6940911419,17085155985,9173280102,216184632
371,2,126,1,146,524416,5182662233,4603015247,3776796675,5337389265,47789169
372,2,127,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
373,2,128,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
374,2,129,1,146,524416,5182662233,4603015246,3776796674,5337389265,47789169
375,2,134,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
376,2,135,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
377,2,136,1,146,128,5182662233,2844766060,2334144559,10598558761,29534772
