plane_id,vector_id,candidate_id,restricted_index,source_atom,coefficient
0,0,20,0,1,1
0,0,20,2,3,1
0,1,54,1,2,1
0,1,54,3,4,1
0,2,153,4,5,1
0,2,153,10,12,-1
1,0,21,0,1,1
1,0,21,2,3,-1
1,1,55,1,2,1
1,1,55,3,4,-1
1,2,171,5,7,1
1,2,171,7,9,-1
