plane_id,plane_code,candidate_family_code,vector_count,coordinate_support_count,coordinate_rank,nonprincipal_flag,inertia_positive,inertia_negative,inertia_zero,definite_spatial_flag,gram_det_sign,gram_det_abs_digit_count,gram_det_abs_mod_1000000007,gram_det_abs_mod_1000000009,physical_selector_axiom_flag,canonical_physical_selection_flag
0,0,0,3,6,3,1,3,0,0,1,1,28,111439000,15358217,0,0
1,1,0,3,6,3,1,0,3,0,1,-1,29,597784442,205204242,0,0
