source_row_id,stress_edge_id,assignment_count,direct_assignment_count,reverse_assignment_count,fallback_assignment_count,signed_tension_sum_scaled,abs_tension_sum_scaled,operation_backed_count,semantic_transition_count,formal_source_flag
0,1,8,0,0,8,-80000000000,80000000000,0,0,1
1,26,4,0,0,4,-16218145776,16218145776,0,0,1
2,29,3,0,3,0,2437238349,2437238349,0,0,1
3,31,1,1,0,0,338229093,338229093,0,0,1
4,37,5,0,0,5,30236915020,30236915020,0,0,1
5,40,2,0,0,2,-20000000000,20000000000,0,0,1
6,44,1,0,1,0,-2323258234,2323258234,0,0,1
7,47,8,0,0,8,-80000000000,80000000000,0,0,1
8,52,10,0,0,10,-74652077480,74652077480,0,0,1
9,55,2,0,0,2,20000000000,20000000000,0,0,1
10,64,6,6,0,0,4874476698,4874476698,0,0,1
11,66,1,1,0,0,-338229093,338229093,0,0,1
12,72,3,0,3,0,-2437238349,2437238349,0,0,1
13,74,5,0,0,5,20272682220,20272682220,0,0,1
