rank,p10_id,p5_a,p5_b,p5_c,p5_d,p5_e,face_a,face_b,face_c,face_d,face_e,mask_a,mask_b,mask_c,mask_d,mask_e,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p9_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,82473,2,16,28,44,122,12,12,12,12,26,30,30,30,30,51,0,0,147525696,144938592,143820032,143312576,144956032,143312576,147525696,4213120,1,0,0,1,1,0,2233073664
1,550222,12,34,36,38,116,12,12,12,12,26,30,30,30,30,51,0,0,144938592,147525696,143312576,143820032,144956032,143312576,147525696,4213120,1,0,0,1,1,0,2352218112
2,377896,8,38,86,110,133,12,12,22,26,26,30,30,45,51,51,0,0,627053568,623007936,627185088,623855936,627269536,623007936,627269536,4261600,1,0,0,1,1,0,4644274176
3,643859,16,30,64,125,128,12,12,22,26,26,30,30,45,51,51,0,0,623007936,627053568,623855936,627185088,627269536,623007936,627269536,4261600,1,0,0,1,1,0,3737124864
4,278509,6,30,64,104,125,12,12,22,26,26,30,30,45,51,51,0,0,625581632,629150336,624708160,626235136,628728288,624708160,629150336,4442176,1,0,0,1,1,0,3944742912
5,360984,8,22,86,126,133,12,12,22,26,26,30,30,45,51,51,0,0,629150336,625581632,626235136,624708160,628728288,624708160,629150336,4442176,1,0,0,1,1,0,4468506624
6,63971,2,4,12,28,122,12,12,12,12,26,30,30,30,30,51,0,0,145432640,145187680,149978112,148473728,147053760,145187680,149978112,4790432,1,0,0,1,1,0,2264924160
7,997705,34,36,42,44,116,12,12,12,12,26,30,30,30,30,51,0,0,145187680,145432640,148473728,149978112,147053760,145187680,149978112,4790432,1,0,0,1,1,0,2376990720
8,63972,2,4,12,29,44,12,12,12,12,12,30,30,30,30,30,1,1,190110848,187818752,186543936,185198208,189706240,185198208,190110848,4912640,1,0,0,1,1,0,2855927808
9,550339,12,34,37,42,44,12,12,12,12,12,30,30,30,30,30,1,1,187818752,190110848,185198208,186543936,189706240,185198208,190110848,4912640,1,0,0,1,1,0,2448949248
10,485351,12,15,37,44,78,12,12,12,12,22,30,30,30,30,45,0,0,297052160,299676160,295764352,300866368,297507328,295764352,300866368,5102016,1,0,0,1,1,0,3273523200
11,536437,12,29,33,44,56,12,12,12,12,22,30,30,30,30,45,0,0,299676160,297052160,300866368,295764352,297507328,295764352,300866368,5102016,1,0,0,1,1,0,3507093504
12,354002,8,14,38,86,133,12,12,12,22,26,30,30,30,45,51,0,0,609963008,610896256,608906944,614193216,613255840,608906944,614193216,5286272,1,0,0,1,1,0,4493279232
13,643738,16,30,32,64,125,12,12,12,22,26,30,30,30,45,51,0,0,610896256,609963008,614193216,608906944,613255840,608906944,614193216,5286272,1,0,0,1,1,0,3623878656
14,519510,12,20,24,26,40,12,12,12,12,12,30,30,30,30,30,1,1,102525312,104012160,107292032,101931008,106766976,101931008,107292032,5361024,1,0,0,1,1,0,2063204352
15,705938,20,24,26,40,44,12,12,12,12,12,30,30,30,30,30,1,1,104012160,102525312,101931008,107292032,106766976,101931008,107292032,5361024,1,0,0,1,1,0,2087976960
16,69971,2,8,12,30,128,12,12,12,12,26,30,30,30,30,51,0,0,138646848,137138048,142707456,137105792,138947328,137105792,142707456,5601664,0,0,0,1,1,0,2264924160
17,367416,8,30,34,44,110,12,12,12,12,26,30,30,30,30,51,0,0,137138048,138646848,137105792,142707456,138947328,137105792,142707456,5601664,0,0,0,1,1,0,2270822400
18,108286,2,24,34,106,114,12,12,12,26,26,30,30,30,51,51,0,0,122053984,124332512,125972608,127746944,126898176,122053984,127746944,5692960,0,0,0,1,1,0,2397044736
19,126434,2,34,40,106,114,12,12,12,26,26,30,30,30,51,51,0,0,124332512,122053984,127746944,125972608,126898176,122053984,127746944,5692960,0,0,0,1,1,0,2535063552
20,483630,12,14,37,38,44,12,12,12,12,12,30,30,30,30,30,1,1,180864000,186823680,185761344,185275840,186372288,180864000,186823680,5959680,0,0,0,1,1,0,2562195456
21,497694,12,16,29,32,44,12,12,12,12,12,30,30,30,30,30,1,1,186823680,180864000,185275840,185761344,186372288,180864000,186823680,5959680,0,0,0,1,1,0,2629435392
22,73778,2,10,34,66,124,12,12,12,22,26,30,30,30,45,51,0,0,191500160,193991808,192551808,187936768,193865024,187936768,193991808,6055040,0,0,0,1,1,0,2491416576
23,88175,2,18,34,58,132,12,12,12,22,26,30,30,30,45,51,0,0,193991808,191500160,187936768,192551808,193865024,187936768,193991808,6055040,0,0,0,1,1,0,2821718016
24,482822,12,14,16,29,44,12,12,12,12,12,30,30,30,30,30,1,1,180686848,187000832,186625984,184411200,186372288,180686848,187000832,6313984,0,0,0,1,1,0,2742681600
25,549413,12,32,37,38,44,12,12,12,12,12,30,30,30,30,30,1,1,187000832,180686848,184411200,186625984,186372288,180686848,187000832,6313984,0,0,0,1,1,0,2448949248
26,17371,1,2,14,106,143,12,12,12,26,26,30,30,30,51,51,0,0,628767200,626520832,627956032,626509312,632915712,626509312,632915712,6406400,0,0,0,1,1,0,4831838208
27,983109,32,34,47,97,114,12,12,12,26,26,30,30,30,51,51,0,0,626520832,628767200,626509312,627956032,632915712,626509312,632915712,6406400,0,0,0,1,1,0,3796107264
28,79909,2,14,25,98,118,12,12,12,26,26,30,30,30,51,51,0,0,192307552,190336672,191913984,188734336,195231488,188734336,195231488,6497152,0,0,0,1,1,0,3076521984
29,983094,32,34,41,102,130,12,12,12,26,26,30,30,30,51,51,0,0,190336672,192307552,188734336,191913984,195231488,188734336,195231488,6497152,0,0,0,1,1,0,2437152768
30,70891,2,8,30,44,128,12,12,12,12,26,30,30,30,30,51,0,0,140133696,135651200,137346432,142466816,138947328,135651200,142466816,6815616,0,0,0,1,1,0,2289696768
31,340554,8,12,30,34,110,12,12,12,12,26,30,30,30,30,51,0,0,135651200,140133696,142466816,137346432,138947328,135651200,142466816,6815616,0,0,0,1,1,0,2246049792
