,B-,B+,V-,V+,S-,S+
B-,85008,30912,20608,61824,77280,82432
B+,30912,41216,10304,30912,30912,51520
V-,20608,10304,36064,56672,20608,51520
V+,61824,30912,56672,221536,82432,164864
S-,77280,30912,20608,82432,113344,113344
S+,82432,51520,51520,164864,113344,267904
