state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,drift_sign,conditional_variance_num_digits,conditional_variance_den_digits,conditional_variance_num_mod_1000000007,conditional_variance_den_mod_1000000007,conditional_variance_num_mod_1000000009,conditional_variance_den_mod_1000000009
0,1,0,3,0,1,3,3,123,214,123,214,3,3,123,214,123,214,1,4,5,1755,11449,1755,11449
1,1,1,2,1,1,3,3,155,107,155,107,2,3,48,107,48,107,1,3,5,264,11449,264,11449
2,1,2,2,2,1,3,3,425,214,425,214,1,3,1000000004,214,1000000006,214,-1,2,5,78,11449,78,11449
3,2,0,3,0,1,3,3,311,841,311,841,3,3,311,841,311,841,1,6,7,142952,2121843,142952,2121843
4,2,1,3,1,2,4,4,5297,5046,5297,5046,4,4,1387,2523,1387,2523,1,6,7,127373,2829124,127373,2829124
5,2,2,2,1,1,5,4,10532,7569,10532,7569,4,4,2963,7569,2963,7569,1,6,8,916520,57289761,916520,57289761
6,2,3,2,3,2,4,3,1415,841,1415,841,3,4,307,1682,307,1682,1,4,6,3560,707281,3560,707281
7,2,4,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
8,3,0,3,0,1,4,5,7383,26540,7383,26540,4,5,7383,26540,7383,26540,1,7,8,1670226,44023225,1670226,44023225
9,3,1,3,1,3,5,5,41899,53080,41899,53080,5,6,72617,159240,72617,159240,1,8,10,71288349,817486386,71288349,817486382
10,3,2,2,2,3,6,6,184133,159240,184133,159240,5,5,25991,53080,25991,53080,1,9,11,371328881,357377425,371328881,357377375
11,3,3,2,1,1,6,6,322631,238860,322631,238860,5,6,83771,238860,83771,238860,1,9,10,107226613,131762401,107226613,131762387
12,3,4,2,4,3,5,5,61079,39810,61079,39810,4,5,7999,39810,7999,39810,1,7,9,5857357,792418050,5857357,792418050
13,3,5,2,5,3,5,5,46693,26540,46693,26540,4,5,7379,79620,7379,79620,1,6,8,197997,88046450,197997,88046450
14,3,6,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
15,4,0,3,0,1,5,5,11793,52705,11793,52705,5,5,11793,52705,11793,52705,1,8,10,67581456,777817011,67581456,777817007
16,4,1,3,1,4,5,6,66877,105410,66877,105410,5,6,81049,210820,81049,210820,1,9,11,179484237,111268023,179484237,111268001
17,4,2,2,1,2,6,6,293171,316230,293171,316230,5,6,67528,158115,67528,158115,1,9,12,926672033,1412200,926672033,1412000
18,4,3,2,3,4,6,6,222263,189738,222263,189738,6,6,159919,379476,159919,379476,1,9,11,176370065,508392,176370065,508320
19,4,4,2,1,1,7,7,1868242,1423035,1868242,1423035,6,7,445207,1423035,445207,1423035,1,9,11,796620968,1143882,796620968,1143720
20,4,5,2,5,4,6,6,683483,474345,683483,474345,6,7,362207,1897380,362207,1897380,1,8,10,58563944,127098,58563944,127080
21,4,6,2,3,2,6,6,255184,158115,255184,158115,5,6,36023,316230,36023,316230,1,7,10,2589224,14122,2589224,14120
22,4,7,2,7,4,5,5,95069,52705,95069,52705,5,6,11341,210820,11341,210820,1,5,9,82728,111112681,82728,111112681
23,4,8,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
24,5,0,3,0,1,6,6,157237,840646,157237,840646,6,6,157237,840646,157237,840646,1,10,12,964277164,14269277,964277148,14268217
25,5,1,3,1,5,7,7,2673907,5043876,2673907,5043876,7,8,8325659,25219380,8325659,25219380,1,11,13,944963837,228308432,944963649,228291472
26,5,2,2,2,5,8,8,11704925,15131628,11704925,15131628,8,8,28261369,75658140,28261369,75658140,1,13,15,161519104,164327622,161516178,163869690
27,5,3,3,3,5,8,8,88975045,90789768,88975045,90789768,9,9,172505921,453948840,172505921,453948840,1,14,16,419881696,915794357,419817942,899308795
28,5,4,1,4,5,1,1,7,6,7,6,2,2,11,30,11,30,1,1,1,0,1,0,1
29,5,5,2,1,1,9,9,261168701,204276978,261168701,204276978,8,9,56891723,204276978,56891723,204276978,1,14,17,11520373,862177231,11392431,841312691
30,5,6,2,6,5,8,8,46804952,34046163,46804952,34046163,8,9,29747782,170230815,29747782,170230815,1,13,16,942354806,206908582,942342782,204590300
31,5,7,2,7,5,8,8,34386827,22697442,34386827,22697442,8,9,13052041,113487210,13052041,113487210,1,12,15,162065287,467434290,162064701,467176704
32,5,8,2,8,5,7,7,6324161,3782907,6324161,3782907,7,8,1357549,18914535,1357549,18914535,1,11,14,805330669,385270479,805330647,385241859
33,5,9,2,9,5,7,6,1542355,840646,1542355,840646,6,7,145961,4203230,145961,4203230,1,9,12,121986686,14269277,121986686,14268217
34,5,10,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
35,6,0,3,0,1,7,8,3774237,23507743,3774237,23507743,7,8,3774237,23507743,3774237,23507743,1,13,15,142398486,977085758,142384746,975980532
36,6,1,3,1,6,8,8,21390233,47015486,21390233,47015486,8,8,20331478,70523229,20331478,70523229,1,14,16,24691049,908343011,24654721,903922101
37,6,2,2,1,3,8,9,93573079,141046458,93573079,141046458,8,9,46557593,141046458,46557593,141046458,1,14,16,351647953,739298154,351621357,733614126
38,6,3,3,1,2,9,9,711756431,846278748,711756431,846278748,9,9,288617057,846278748,288617057,846278748,1,16,18,417819947,303133506,413655563,870758096
