shell,groups,ordered_cone_positive_groups,ordered_cone_residual_groups,ordered_cone_positive_terms,residual_terms,residual_negative_terms,residual_positive_terms,residual_coeff_l1,cone_coeff_l1,min_cone_coeff,min_residual_coeff,max_residual_coeff,ordered_cone_positive_fraction
12,32144,16688,15456,19880,32256,30240,2016,73920,108864,1,-2,33,0.519163763066202
16,8503,4455,4048,5544,8448,7920,528,23584,48576,1,-2,45,0.5239327296248383
