workload_id,challenge_id,transcript_id,game_row_count,honest_row_count,tamper_row_count,verifier_payoff_rows,local_audit_bytes,digest_surface_bytes,saved_audit_bytes,local_audit_improvement_flag,public_transport_claim_flag
0,0,0,6,1,5,6,4,96,92,1,0
1,1,1,6,1,5,6,4,96,92,1,0
2,2,2,6,1,5,6,4,96,92,1,0
3,3,3,6,1,5,6,4,96,92,1,0
4,4,4,6,1,5,6,4,96,92,1,0
5,5,5,6,1,5,6,4,96,92,1,0
6,6,6,6,1,5,6,4,96,92,1,0
7,7,7,6,1,5,6,4,96,92,1,0
8,8,8,6,1,5,6,4,96,92,1,0
9,9,9,6,1,5,6,4,96,92,1,0
10,10,10,6,1,5,6,4,96,92,1,0
11,11,11,6,1,5,6,4,96,92,1,0
12,12,12,6,1,5,6,4,96,92,1,0
13,13,13,6,1,5,6,4,96,92,1,0
14,14,14,6,1,5,6,4,96,92,1,0
15,15,15,6,1,5,6,4,96,92,1,0
16,16,16,6,1,5,6,4,96,92,1,0
17,17,17,6,1,5,6,4,96,92,1,0
18,18,18,6,1,5,6,4,96,92,1,0
19,19,19,6,1,5,6,4,96,92,1,0
20,20,20,6,1,5,6,4,96,92,1,0
21,21,21,6,1,5,6,4,96,92,1,0
22,22,22,6,1,5,6,4,96,92,1,0
23,23,23,6,1,5,6,4,96,92,1,0
24,24,24,6,1,5,6,4,96,92,1,0
25,25,25,6,1,5,6,4,96,92,1,0
26,26,26,6,1,5,6,4,96,92,1,0
27,27,27,6,1,5,6,4,96,92,1,0
28,28,28,6,1,5,6,4,96,92,1,0
29,29,29,6,1,5,6,4,96,92,1,0
30,30,30,6,1,5,6,4,96,92,1,0
31,31,31,6,1,5,6,4,96,92,1,0
32,32,32,6,1,5,6,4,96,92,1,0
33,33,33,6,1,5,6,4,96,92,1,0
34,34,34,6,1,5,6,4,96,92,1,0
35,35,35,6,1,5,6,4,96,92,1,0
36,36,36,6,1,5,6,4,96,92,1,0
37,37,37,6,1,5,6,4,96,92,1,0
38,38,38,6,1,5,6,4,96,92,1,0
39,39,39,6,1,5,6,4,96,92,1,0
40,40,40,6,1,5,6,4,96,92,1,0
41,41,41,6,1,5,6,4,96,92,1,0
42,42,42,6,1,5,6,4,96,92,1,0
43,43,43,6,1,5,6,4,96,92,1,0
44,44,44,6,1,5,6,4,96,92,1,0
45,45,45,6,1,5,6,4,96,92,1,0
46,46,46,6,1,5,6,4,96,92,1,0
47,47,47,6,1,5,6,4,96,92,1,0
48,48,48,6,1,5,6,4,96,92,1,0
49,49,49,6,1,5,6,4,96,92,1,0
50,50,50,6,1,5,6,4,96,92,1,0
51,51,51,6,1,5,6,4,96,92,1,0
52,52,52,6,1,5,6,4,96,92,1,0
53,53,53,6,1,5,6,4,96,92,1,0
54,54,54,6,1,5,6,4,96,92,1,0
55,55,55,6,1,5,6,4,96,92,1,0
