modulus,state_count,parameter_count,transition_image_count,transition_indegree_min,transition_indegree_max,orbit_type_count,attractor_count_from_zero_seed,max_preperiod,max_period,top_orbit_preperiod,top_orbit_period,top_orbit_parameter_count,direct_two_primary_shape,branch_lift_two_primary_shape,branch_lift_matches_static_2primary
2,4,4,4,4,4,4,3,1,2,0,1,1,Z/2^2,Z/2^3,False
3,9,9,9,9,9,6,6,2,3,2,1,3,trivial,Z/2,False
4,16,16,16,16,16,6,11,2,2,2,2,4,Z/4^2,Z/2 x Z/4^2,True
5,25,25,25,25,25,14,16,5,4,2,2,4,trivial,Z/2,False
6,36,36,36,36,36,12,19,5,4,2,2,10,Z/2^2,Z/2^3,False
8,64,64,64,64,64,6,39,2,2,2,2,32,Z/8^2,Z/2 x Z/8^2,False
10,100,100,100,100,100,29,50,8,6,2,2,20,Z/2^2,Z/2^3,False
12,144,144,144,144,144,16,71,5,6,2,2,52,Z/4^2,Z/2 x Z/4^2,True
20,400,400,400,400,400,34,202,9,10,2,2,80,Z/4^2,Z/2 x Z/4^2,True
60,3600,3600,3600,3600,3600,106,1530,25,24,2,2,568,Z/4^2,Z/2 x Z/4^2,True
