modulus,attractor_x,attractor_y,parameter_count
2,0,0,2
2,0,1,1
2,1,1,1
3,0,0,3
3,2,0,2
3,2,2,1
3,1,0,1
3,1,1,1
3,2,1,1
4,0,0,2
4,3,1,2
4,3,3,2
4,1,3,2
4,1,1,2
4,0,2,1
4,1,0,1
4,1,2,1
4,2,0,1
4,2,2,1
4,3,2,1
5,0,0,4
5,0,3,2
5,3,1,2
5,4,4,2
5,1,1,2
5,1,0,2
5,1,2,2
5,2,2,1
5,0,1,1
5,1,4,1
5,2,1,1
5,2,0,1
5,3,0,1
5,0,2,1
5,1,3,1
5,4,1,1
6,0,0,5
6,5,3,5
6,2,0,4
6,2,2,3
6,5,5,3
6,1,3,2
6,4,0,2
6,2,1,1
6,0,3,1
6,1,0,1
6,1,1,1
6,2,4,1
6,2,3,1
6,3,1,1
6,3,3,1
6,5,4,1
6,4,3,1
6,4,4,1
6,5,1,1
8,7,1,3
8,7,3,3
8,1,3,3
8,1,1,3
8,5,5,3
8,5,7,3
8,3,7,3
8,3,5,3
8,0,0,2
8,4,2,2
8,4,6,2
8,2,0,2
8,2,4,2
8,6,0,2
8,6,4,2
8,0,6,2
8,0,2,2
8,0,4,1
8,7,5,1
8,7,7,1
8,1,2,1
8,1,6,1
8,2,2,1
8,5,1,1
8,2,6,1
10,0,0,10
10,1,5,7
10,6,0,6
10,0,8,4
10,1,3,4
10,6,8,4
10,5,3,4
10,4,4,2
10,5,9,2
10,8,4,2
10,9,9,2
10,8,6,2
10,0,4,2
10,9,1,2
10,2,0,2
10,1,7,2
10,3,1,2
10,7,5,2
10,3,5,2
10,8,0,2
10,4,6,2
10,6,2,2
10,6,5,2
10,3,9,2
10,5,7,2
12,0,0,6
12,3,3,4
12,3,9,4
12,2,0,4
12,5,9,4
12,2,6,4
12,5,3,4
12,9,3,4
12,9,9,4
12,11,3,4
12,8,6,4
12,11,9,4
12,8,0,3
12,11,7,2
12,8,8,2
12,8,10,2
12,11,11,2
12,1,3,2
12,10,6,2
12,10,0,2
12,1,5,2
12,1,1,2
12,2,3,2
12,2,10,2
12,2,8,2
20,0,0,10
20,15,5,6
20,15,15,6
20,1,5,6
20,17,15,6
20,5,15,6
20,7,5,6
20,5,5,6
20,11,15,6
20,6,0,5
20,6,10,5
20,16,10,5
20,19,1,4
20,19,9,4
20,17,5,4
20,7,15,4
20,9,11,4
20,9,19,4
20,16,0,4
20,4,4,3
20,4,6,3
20,19,11,3
20,11,13,3
20,0,2,3
20,0,8,3
60,0,0,24
60,41,45,16
60,11,15,16
60,15,15,14
60,45,45,14
60,26,0,13
60,26,30,13
60,56,30,13
60,17,15,12
60,57,15,12
60,27,45,12
60,56,0,12
60,47,45,12
60,20,30,11
60,50,0,11
60,50,30,11
60,15,45,10
60,6,0,10
60,6,12,10
60,6,18,10
60,6,30,10
60,45,15,10
60,36,42,10
60,36,48,10
60,20,0,10
