legacy_sector,block_dimension,matrix_units,expected_matrix_units,diagonal_units,expected_diagonal_units,off_diagonal_units,expected_off_diagonal_units,coefficient_source,canonical_gauge_status
0,10,100,100,10,10,90,90,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
1,6,36,36,6,6,30,30,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
2,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
3,5,25,25,5,5,20,20,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
4,4,16,16,4,4,12,12,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
5,2,4,4,2,2,2,2,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
6,2,4,4,2,2,2,2,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_CANONICAL_GAUGE
7,1,1,1,1,1,0,0,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
8,3,9,9,3,3,6,6,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
9,3,9,9,3,3,6,6,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
10,1,1,1,1,1,0,0,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
11,5,25,25,5,5,20,20,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CONSTRUCTED_RAW_BLOCK_CANONICAL_GAUGE
