generator_index,generator,R_equivariance_relerr,R_cos2_after_action
0,s4_perm_0,1.422897165016642,0.00015173733940157416
1,s4_perm_1,1.4705244896165537,0.006596873141221078
2,s4_perm_2,1.3249730657398011,0.014938507570491416
3,s4_perm_3,1.3847945287810781,0.0016951382388268612
4,even_sign_flip_0,1.4411029846571943,0.0014737081187668585
5,even_sign_flip_1,1.4077242580534632,8.383612010604618e-05
6,even_sign_flip_2,1.4712382704580913,0.006768521427895607
7,even_sign_flip_3,1.4124253372011937,6.387414195870554e-06
8,even_sign_flip_4,1.401153698397499,0.0003379772188020995
