,R_equivariance_relerr,R_cos2_after_action
min,0.8382176442002682,1.1598203024007593e-06
mean,644.4135947532781,0.002845480570373869
median,487.0774357066038,0.0005137638299601659
max,2400.6244784975333,0.2973911809513527
