builder,foam_basis
BASIN_SWITCHER,unit
BLUFF_REVEAL,B-∧B+
CURVATURE_ZERO,B-∧V-
DIVERGENCE_MIN,B-∧V+
EMERGENCE_SEEKER,B-∧S-
FACE12_ANCHOR,B-∧S+
FACE15_ANCHOR,B+∧V-
FACE17_ANCHOR,B+∧V+
H2047_PURIST,B+∧S-
H954_CORRIDOR,B+∧S+
MONODROME_PURIST,V-∧V+
Q4_BALANCER,V-∧S-
ROBUST_REVEAL,V-∧S+
SIGMA_MIN,V+∧S-
SPREAD_CONTROL,V+∧S+
STOCHASTIC_CONTROL,S-∧S+
