raw_sector,id_coeff_6,id_coeff_163,id_coeff_227,id_coeff_349,id_coeff_618,id_coeff_893,fingerprint
0,-223959,0,402779,-149306,0,0,"[-223959, 0, 402779, -149306, 0, 0]"
1,0,0,0,-149306,0,0,"[0, 0, 0, -149306, 0, 0]"
2,0,0,0,-343751,238282,-15625,"[0, 0, 0, -343751, 238282, -15625]"
3,0,0,0,-74653,0,194011,"[0, 0, 0, -74653, 0, 194011]"
4,0,0,104167,0,0,-417970,"[0, 0, 104167, 0, 0, -417970]"
5,0,-343751,0,0,0,0,"[0, -343751, 0, 0, 0, 0]"
6,0,0,104167,-447918,373048,-417970,"[0, 0, 104167, -447918, 373048, -417970]"
7,0,0,0,-343751,0,0,"[0, 0, 0, -343751, 0, 0]"
8,0,-343751,208334,0,0,328126,"[0, -343751, 208334, 0, 0, 328126]"
9,0,0,0,0,119141,-253907,"[0, 0, 0, 0, 119141, -253907]"
10,-15625,-31250,-375001,-31250,476564,-31250,"[-15625, -31250, -375001, -31250, 476564, -31250]"
11,-15625,0,0,0,238282,0,"[-15625, 0, 0, 0, 238282, 0]"
12,0,0,0,208334,-31250,312501,"[0, 0, 0, 208334, -31250, 312501]"
13,328126,0,208334,-343751,0,0,"[328126, 0, 208334, -343751, 0, 0]"
14,0,104167,-194445,402779,0,0,"[0, 104167, -194445, 402779, 0, 0]"
15,250001,250001,0,-166667,-62500,250001,"[250001, 250001, 0, -166667, -62500, 250001]"
16,-46875,-31250,0,-343751,476564,476564,"[-46875, -31250, 0, -343751, 476564, 476564]"
17,0,328126,0,0,0,0,"[0, 328126, 0, 0, 0, 0]"
18,164063,0,0,-223959,373048,0,"[164063, 0, 0, -223959, 373048, 0]"
19,0,-31250,0,0,0,492189,"[0, -31250, 0, 0, 0, 492189]"
20,388022,-223959,-298612,-74653,-208985,194011,"[388022, -223959, -298612, -74653, -208985, 194011]"
21,0,0,312501,0,0,-253907,"[0, 0, 312501, 0, 0, -253907]"
22,0,0,0,-447918,0,-417970,"[0, 0, 0, -447918, 0, -417970]"
23,0,0,0,-343751,0,476564,"[0, 0, 0, -343751, 0, 476564]"
24,0,-223959,0,0,0,0,"[0, -223959, 0, 0, 0, 0]"
25,-15625,0,-375001,-343751,238282,-15625,"[-15625, 0, -375001, -343751, 238282, -15625]"
26,164063,328126,0,0,373048,-417970,"[164063, 328126, 0, 0, 373048, -417970]"
27,0,0,402779,-298612,0,-223959,"[0, 0, 402779, -298612, 0, -223959]"
28,-15625,0,0,0,476564,492189,"[-15625, 0, 0, 0, 476564, 492189]"
29,0,0,0,0,373048,0,"[0, 0, 0, 0, 373048, 0]"
30,0,0,0,0,-208985,0,"[0, 0, 0, 0, -208985, 0]"
31,-15625,0,0,-343751,476564,0,"[-15625, 0, 0, -343751, 476564, 0]"
32,-31250,0,250001,250001,-46875,-31250,"[-31250, 0, 250001, 250001, -46875, -31250]"
33,492189,0,0,0,119141,0,"[492189, 0, 0, 0, 119141, 0]"
34,0,0,-375001,-31250,0,-31250,"[0, 0, -375001, -31250, 0, -31250]"
35,0,0,0,-223959,0,0,"[0, 0, 0, -223959, 0, 0]"
36,0,-31250,0,-343751,0,0,"[0, -31250, 0, -343751, 0, 0]"
37,-31250,0,-375001,0,238282,0,"[-31250, 0, -375001, 0, 238282, 0]"
38,-375001,250001,0,208334,-31250,312501,"[-375001, 250001, 0, 208334, -31250, 312501]"
