left,right,left_raw_support,right_raw_support,intersection_raw_support,hom_rank,matrix_unit_count,public_collapse_residue_rank
unit_top_all_39,unit_top_all_39,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",985,985,0
unit_top_all_39,zero,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",{},{},0,0,0
unit_top_all_39,Pi33,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",{19},{19},4,4,4
unit_top_all_39,pure_Sminus_doublet_25_26,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{30,29}","{29,30}",2,2,2
unit_top_all_39,mixed_S_channel_6_26,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{9,29}","{9,29}",5,5,5
unit_top_all_39,Pi33_plus_pure_Sminus_doublet,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{30,29,19}","{19,29,30}",6,6,6
unit_top_all_39,Pi33_plus_mixed_S_channel,"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}","{9,29,19}","{9,19,29}",9,9,9
zero,unit_top_all_39,{},"{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",{},0,0,0
zero,zero,{},{},{},0,0,0
zero,Pi33,{},{19},{},0,0,0
zero,pure_Sminus_doublet_25_26,{},"{30,29}",{},0,0,0
zero,mixed_S_channel_6_26,{},"{9,29}",{},0,0,0
zero,Pi33_plus_pure_Sminus_doublet,{},"{30,29,19}",{},0,0,0
zero,Pi33_plus_mixed_S_channel,{},"{9,29,19}",{},0,0,0
