weak_edge_id,left_class_id,right_class_id,boundary_count,edge_lln_var_num,edge_lln_var_den
0,2,11,15,271530,328225689
1,2,12,26,470366,328225689
2,3,3,4,72452,328225689
3,3,11,17,307700,328225689
4,5,12,5,90560,328225689
5,11,11,13409,63129572,328225689
6,11,12,1261,21255416,328225689
7,12,12,3380,49811060,328225689
