basis_id,source0_addr,source1_addr,target_addr,coeff,weak_class_code,owner_cell_count,graph_degree,weighted_degree,owner_lln_var_num,owner_lln_var_den
0,118,984,107,1,11,12376,3,223,11854339224,941336550625
1,119,880,77,2,11,5280,5,284,5094909600,941336550625
2,119,983,107,1,11,103,4,208,99922566,941336550625
3,120,984,108,1,11,3,4,6,2910666,941336550625
4,127,752,33,4,11,2560,4,276,2477222400,941336550625
5,127,880,78,1,11,8,4,18,7761736,941336550625
6,127,984,109,1,11,14,3,11,13582954,941336550625
7,130,732,0,4,11,96023,4,864,83943498646,941336550625
8,130,982,107,1,11,1122,8,226,1087333566,941336550625
9,133,731,0,4,11,2196,4,1467,2125791684,941336550625
10,133,732,1,8,11,3,4,8,2910666,941336550625
11,134,751,33,4,11,133,6,52,129022236,941336550625
12,135,982,108,1,11,15,4,16,14553150,941336550625
13,136,752,34,2,11,11,6,22,10672354,941336550625
14,136,880,89,1,11,9,5,20,8731944,941336550625
15,136,982,111,1,11,3,5,8,2910666,941336550625
16,136,984,125,1,11,18,5,13,17463726,941336550625
17,137,751,34,4,11,1,4,4,970224,941336550625
18,137,752,37,4,11,1,4,4,970224,941336550625
19,137,772,45,2,11,2760,6,296,2670203400,941336550625
20,137,879,77,2,11,774,8,122,750355074,941336550625
21,137,880,95,2,11,1,4,4,970224,941336550625
22,137,979,107,2,11,693,9,212,671885676,941336550625
23,137,981,111,1,11,2,4,6,1940446,941336550625
24,137,984,137,2,3,2,3,5,1940446,941336550625
25,138,730,0,4,11,3655,3,1467,3532813350,941336550625
26,138,732,2,4,11,10,6,14,9702150,941336550625
27,138,750,33,2,11,72,6,44,69851016,941336550625
28,138,751,35,4,11,1,4,4,970224,941336550625
29,138,752,39,12,11,1,4,4,970224,941336550625
30,138,770,45,2,11,18,4,38,17463726,941336550625
31,138,772,46,1,11,2,4,6,1940446,941336550625
32,138,836,53,1,11,8896,6,342,8551982784,941336550625
33,138,876,77,2,11,40,4,82,38807400,941336550625
34,138,877,78,1,11,1,4,4,970224,941336550625
35,138,879,79,2,11,2,4,6,1940446,941336550625
36,138,880,105,6,11,1,4,4,970224,941336550625
37,138,969,107,1,11,89,4,180,86342104,941336550625
38,138,972,109,1,11,3,4,8,2910666,941336550625
39,138,981,113,1,11,9,5,20,8731944,941336550625
40,138,982,114,1,11,2,6,6,1940446,941336550625
41,138,984,138,2,3,2,3,5,1940446,941336550625
42,196,984,195,1,11,6032,8,266,5816012176,941336550625
43,201,984,197,1,11,10,4,9,9702150,941336550625
44,203,880,183,1,11,2860,9,218,2766663900,941336550625
45,203,983,197,1,11,2,4,6,1940446,941336550625
46,203,984,198,1,11,2,3,4,1940446,941336550625
47,204,880,188,6,11,1,4,4,970224,941336550625
48,204,984,204,2,3,2,4,5,1940446,941336550625
49,207,984,205,1,11,6,4,7,5821314,941336550625
50,209,879,183,2,11,258,6,98,250251486,941336550625
51,209,983,205,1,11,2,4,6,1940446,941336550625
52,209,984,206,1,11,2,3,4,1940446,941336550625
53,210,752,151,2,11,1440,7,184,1395050400,941336550625
54,210,880,189,1,11,6,5,14,5821314,941336550625
55,210,982,195,1,11,1428,12,232,1383442116,941336550625
56,210,984,208,1,11,2,4,5,1940446,941336550625
57,211,836,171,1,11,4672,7,274,4511063616,941336550625
58,212,984,211,2,11,4,3,6,3880884,941336550625
59,213,772,167,2,11,1500,8,190,1453087500,941336550625
60,213,878,183,1,11,168,6,92,162969576,941336550625
61,213,880,193,2,11,3,4,8,2910666,941336550625
62,213,984,213,2,3,2,3,5,1940446,941336550625
63,214,732,139,2,11,55708,5,1542,50945913036,941336550625
64,214,750,151,2,11,72,4,44,69851016,941336550625
65,214,752,152,12,11,8,5,12,7761736,941336550625
66,214,770,167,2,11,18,4,38,17463726,941336550625
67,214,772,168,1,11,2,4,6,1940446,941336550625
68,214,834,171,1,11,186,5,130,180427254,941336550625
69,214,836,172,1,11,6,5,10,5821314,941336550625
70,214,877,183,1,11,41,4,84,39777544,941336550625
71,214,878,184,2,11,1,4,4,970224,941336550625
72,214,879,186,2,11,5,7,12,4851100,941336550625
73,214,880,194,6,11,1,4,4,970224,941336550625
74,214,972,195,1,11,368,5,192,356907376,941336550625
75,214,982,199,1,11,40,6,28,38807400,941336550625
76,214,984,214,2,3,2,3,5,1940446,941336550625
77,284,772,227,32,11,1400,6,180,1356355000,941336550625
78,287,772,228,16,11,3,4,8,2910666,941336550625
79,288,984,271,1,11,7696,7,282,7407623184,941336550625
80,289,771,227,32,11,95,7,48,92162350,941336550625
81,289,772,229,16,11,2,4,6,1940446,941336550625
82,289,984,274,1,11,5,5,11,4851100,941336550625
83,290,732,215,2,11,55708,3,1542,50945913036,941336550625
84,290,752,223,1,11,1520,7,192,1472431600,941336550625
85,290,762,227,32,11,10,4,22,9702150,941336550625
86,290,770,228,16,11,8,4,18,7761736,941336550625
87,290,772,233,2,11,2,5,6,1940446,941336550625
88,290,836,241,2,11,4864,8,280,4695515904,941336550625
89,290,880,263,1,11,3344,8,240,3233250064,941336550625
90,290,975,271,1,11,190,4,194,184306650,941336550625
91,290,979,272,2,11,8,5,12,7761736,941336550625
92,290,981,276,2,11,2,4,6,1940446,941336550625
93,290,983,279,1,11,2,4,6,1940446,941336550625
94,290,984,287,1,11,1,3,3,970224,941336550625
95,490,984,467,2,11,20800,8,408,19748040000,941336550625
96,492,983,467,1,11,206,4,210,199823914,941336550625
97,493,982,467,2,11,102,4,206,98952546,941336550625
98,498,984,470,1,11,19,6,14,18433914,941336550625
99,501,984,474,1,11,6,3,7,5821314,941336550625
100,505,984,480,1,11,8,4,8,7761736,941336550625
101,506,983,485,1,11,1,3,4,970224,941336550625
102,510,752,315,1,11,4400,5,480,4249630000,941336550625
103,510,880,435,1,11,9680,8,528,9298075600,941336550625
104,510,984,487,1,11,9,4,9,8731944,941336550625
105,511,982,472,1,11,13,8,28,12612756,941336550625
106,518,984,511,1,11,16,4,12,15523344,941336550625
107,523,772,327,2,11,4660,8,506,4499532900,941336550625
108,525,836,349,8,11,15040,7,598,14365982400,941336550625
109,525,982,480,1,11,14,5,30,13582954,941336550625
110,526,984,512,1,11,16,4,12,15523344,941336550625
111,527,832,349,8,11,120,5,124,116412600,941336550625
112,527,982,487,1,11,2,5,6,1940446,941336550625
113,528,772,328,2,11,10,6,14,9702150,941336550625
114,528,982,497,1,11,1,4,4,970224,941336550625
115,528,984,513,1,11,4,5,6,3880884,941336550625
116,529,751,315,1,11,361,6,76,350120904,941336550625
117,529,752,316,1,11,19,5,40,18433914,941336550625
118,529,772,333,4,11,2,5,6,1940446,941336550625
119,529,823,349,8,11,102,6,106,98952546,941336550625
120,529,826,350,8,11,6,3,10,5821314,941336550625
121,529,879,435,1,11,817,6,124,792006336,941336550625
122,529,880,459,1,11,19,4,40,18433914,941336550625
123,529,981,467,1,11,3636,13,274,3514517604,941336550625
124,529,983,516,1,11,2,6,6,1940446,941336550625
125,529,984,522,1,11,1,3,3,970224,941336550625
126,530,732,291,1,11,175920,5,1706,139734135600,941336550625
127,530,747,315,1,11,15,4,32,14553150,941336550625
128,530,748,316,1,11,1,4,4,970224,941336550625
129,530,751,317,1,11,3,4,8,2910666,941336550625
130,530,752,319,1,11,1,4,4,970224,941336550625
131,530,770,327,2,11,126,7,50,122232474,941336550625
132,530,771,335,4,11,1,4,4,970224,941336550625
133,530,772,336,4,11,1,4,4,970224,941336550625
134,530,815,349,8,11,43,4,88,41717826,941336550625
135,530,836,351,2,11,49,8,52,47538624,941336550625
136,530,872,435,2,11,36,4,74,34926804,941336550625
137,530,879,437,1,11,7,4,16,6791526,941336550625
138,530,880,460,1,11,1,4,4,970224,941336550625
139,530,954,467,2,11,74,4,150,71791174,941336550625
140,530,958,469,2,11,4,4,10,3880884,941336550625
141,530,979,472,1,11,21,4,44,20374284,941336550625
142,530,981,474,1,11,2,4,6,1940446,941336550625
143,530,982,516,2,11,1,4,4,970224,941336550625
144,530,983,519,1,11,1,4,4,970224,941336550625
145,530,984,523,1,11,1,3,3,970224,941336550625
146,693,752,561,4,11,3260,8,366,3152305900,941336550625
147,694,836,581,1,11,10496,7,456,10073315584,941336550625
148,696,732,531,2,11,121678,5,1632,103249501866,941336550625
149,696,752,562,2,11,3,4,8,2910666,941336550625
150,697,836,583,1,11,3,4,8,2910666,941336550625
151,697,984,657,1,11,17368,10,375,16549220376,941336550625
152,698,727,531,2,11,1456,3,1458,1410527664,941336550625
153,698,752,563,2,11,2,4,6,1940446,941336550625
154,698,836,584,2,11,1,4,4,970224,941336550625
155,698,880,613,1,11,7392,12,424,7117261536,941336550625
156,698,983,657,1,11,103,7,208,99922566,941336550625
157,699,752,566,6,11,1,4,4,970224,941336550625
158,699,772,573,1,11,3380,11,378,3267936100,941336550625
159,699,834,581,1,11,310,7,134,300673650,941336550625
160,699,835,582,1,11,5,6,12,4851100,941336550625
161,699,836,592,1,11,1,4,4,970224,941336550625
