class_id,class_name,basis_count,owner_cell_count,owner_lln_var_num,owner_lln_var_den
0,eq_abc,0,0,0,941336550625
1,eq_ab_lt_c,0,0,0,941336550625
2,eq_ab_gt_c,1,82,79551726,941336550625
3,eq_ac_lt_b,5,10,9702150,941336550625
4,eq_ac_gt_b,0,0,0,941336550625
5,eq_bc_lt_a,1,2,1940446,941336550625
6,eq_bc_gt_a,0,0,0,941336550625
7,lt_abc,0,0,0,941336550625
8,lt_acb,0,0,0,941336550625
9,lt_bac,0,0,0,941336550625
10,lt_bca,0,0,0,941336550625
11,lt_cab,185,718941,180658370244,941336550625
12,lt_cba,67,251190,180614401650,941336550625
